day,home,inpatient_ward,intensive_care_unit,death,recovered
0,1053,30,8,0,45
1,1129,37,10,0,57
2,1187,42,12,0,63
3,1236,51,18,0,62
4,1262,69,24,0,69
5,1292,79,27,0,71
6,1327,84,24,1,67
7,1359,87,26,1,63
8,1369,94,30,0,73
9,1384,93,33,0,76
10,1378,100,38,0,71
11,1363,102,42,0,89
12,1336,113,43,1,83
13,1313,117,52,0,72
0,1051,29,8,0,48
1,1141,34,10,0,45
2,1207,41,10,1,54
3,1241,55,11,0,77
4,1240,82,16,0,88
5,1281,91,18,1,61
6,1315,87,21,2,70
7,1326,99,26,0,73
8,1338,106,32,1,68
9,1353,105,38,0,73
10,1340,102,46,1,84
11,1333,102,46,1,86
12,1322,106,45,1,76
13,1315,104,52,1,63
0,1051,28,10,0,47
1,1132,34,13,0,52
2,1196,38,15,1,57
3,1244,46,19,0,66
4,1272,66,23,0,67
5,1298,84,21,0,72
6,1329,84,27,0,68
7,1353,97,29,1,61
8,1349,107,32,0,85
9,1347,116,35,0,83
10,1354,122,39,0,60
11,1349,115,48,0,83
12,1344,120,51,0,66
13,1323,112,59,2,81
0,1058,28,6,0,44
1,1132,40,13,0,49
2,1192,51,15,0,55
3,1215,66,18,1,84
4,1248,77,17,0,76
5,1299,81,21,0,55
6,1323,92,22,0,69
7,1348,98,28,3,61
8,1371,90,37,0,70
9,1374,92,38,0,87
10,1373,97,39,1,71
11,1361,96,39,0,93
12,1356,93,45,0,71
13,1325,90,54,3,84
0,1053,29,8,0,46
1,1129,43,8,0,52
2,1192,48,14,0,54
3,1229,59,14,0,78
4,1273,58,19,0,71
5,1291,64,24,0,85
6,1325,70,27,0,62
7,1353,83,26,0,61
8,1360,90,27,0,79
9,1367,83,34,1,85
10,1348,90,39,1,83
11,1330,98,42,0,87
12,1323,90,45,0,81
13,1313,93,49,0,65
0,1043,34,9,0,50
1,1126,42,12,0,48
2,1172,53,21,0,62
3,1226,64,22,0,60
4,1247,79,25,0,80
5,1275,89,28,0,73
6,1323,90,25,0,59
7,1352,96,30,1,60
8,1359,103,31,1,78
9,1366,100,37,0,83
10,1366,98,41,1,74
11,1360,93,53,0,79
12,1333,96,55,1,90
13,1335,107,55,1,48
0,1057,30,8,0,41
1,1134,41,11,0,51
2,1186,51,14,1,62
3,1217,67,18,1,74
4,1252,83,15,0,71
5,1282,93,17,0,72
6,1316,87,20,1,73
7,1346,82,34,0,62
8,1355,85,43,0,73
9,1371,82,45,1,77
10,1362,93,55,1,64
11,1359,103,55,1,72
12,1338,106,55,1,86
13,1322,116,55,1,67
0,1049,34,9,0,44
1,1139,38,11,0,46
2,1194,45,14,1,62
3,1240,51,13,0,75
4,1254,62,17,0,90
5,1279,80,15,1,72
6,1300,89,17,1,72
7,1333,85,23,2,64
8,1365,95,26,0,49
9,1381,89,30,1,78
10,1382,98,33,0,64
11,1362,109,39,0,83
12,1331,107,44,2,95
13,1317,112,46,0,69
0,1059,28,10,0,39
1,1140,39,13,0,47
2,1186,43,17,0,74
3,1238,51,20,0,63
4,1271,63,25,1,68
5,1275,78,25,0,95
6,1305,94,27,0,57
7,1314,110,30,0,73
8,1337,116,35,0,60
9,1335,123,35,0,88
10,1333,119,42,0,76
11,1315,118,51,0,90
12,1298,124,54,0,77
13,1294,128,52,0,64
0,1048,35,7,0,46
1,1118,43,8,0,63
2,1175,46,9,0,67
3,1219,61,12,1,63
4,1229,68,18,1,95
5,1272,81,19,1,56
6,1303,84,21,1,68
7,1340,96,22,1,50
8,1347,105,26,1,73
9,1361,108,33,1,68
10,1351,106,42,1,79
11,1343,107,43,3,83
12,1345,106,47,1,63
13,1325,107,50,0,78
0,1047,23,9,0,57
1,1121,40,10,0,50
2,1174,49,14,0,62
3,1222,60,16,0,65
4,1261,70,16,0,70
5,1295,79,19,0,68
6,1310,88,20,1,79
7,1345,94,23,0,57
8,1371,83,28,0,74
9,1400,81,34,0,60
10,1378,95,37,0,82
11,1363,98,41,0,88
12,1345,107,44,0,75
13,1321,118,44,0,75
0,1058,29,7,0,42
1,1130,32,13,0,61
2,1191,36,19,0,57
3,1231,50,20,1,70
4,1260,62,19,0,79
5,1284,77,20,1,73
6,1314,76,21,0,75
7,1338,84,31,0,59
8,1348,99,33,1,66
9,1384,95,37,2,55
10,1367,98,44,1,83
11,1364,109,42,2,72
12,1346,118,42,1,77
13,1321,112,50,1,84
0,1059,20,11,0,46
1,1123,34,12,0,63
2,1179,45,12,0,61
3,1224,60,9,1,68
4,1255,74,10,0,73
5,1286,80,13,0,74
6,1305,85,17,1,76
7,1334,94,21,1,58
8,1341,100,25,1,76
9,1364,98,29,0,68
10,1346,96,34,0,92
11,1340,99,37,0,80
12,1321,105,42,1,76
13,1318,101,45,0,66
0,1046,31,9,1,49
1,1121,40,11,1,55
2,1184,45,16,0,55
3,1211,56,19,0,85
4,1238,67,21,0,79
5,1268,76,21,0,75
6,1285,82,23,0,80
7,1322,88,27,1,53
8,1329,96,33,0,73
9,1329,99,39,0,84
10,1313,105,45,0,81
11,1302,119,44,1,77
12,1295,113,44,2,80
13,1283,118,49,1,63
0,1049,34,8,1,44
1,1125,42,11,0,55
2,1193,52,12,1,48
3,1246,67,11,0,59
4,1281,70,15,1,76
5,1313,69,17,1,80
6,1330,82,20,0,72
7,1368,83,26,0,56
8,1379,77,30,1,84
9,1382,87,35,1,74
10,1363,106,36,0,76
11,1360,105,43,0,77
12,1327,106,52,1,91
13,1295,123,57,0,72
0,1051,25,8,0,52
