day,home,inpatient_ward,intensive_care_unit,death,recovered
10,749,53,12,3,59
11,719,51,14,0,56
12,684,44,22,1,45
13,645,50,22,0,47
14,586,52,19,2,69
15,536,46,23,0,56
16,556,55,22,0,47
17,513,60,23,1,36
18,491,60,23,0,38
19,461,60,22,0,36
20,435,57,22,2,33
21,412,55,23,1,23
22,384,56,24,1,30
23,368,51,25,0,21
24,349,51,28,0,19
25,300,58,24,0,46
26,278,56,25,0,25
27,256,49,25,1,29
0,941,30,11,0,11
1,933,27,9,0,43
2,967,28,10,1,27
3,957,30,11,2,27
4,922,32,11,1,51
5,903,34,12,1,52
6,845,41,12,0,65
7,796,44,9,1,70
8,748,50,10,0,66
9,704,51,11,1,46
10,645,47,14,1,70
11,621,41,20,0,53
12,601,36,21,1,41
13,543,38,21,1,70
14,501,37,18,0,54
15,473,35,21,0,46
16,434,40,19,1,35
17,381,54,14,0,47
18,352,53,19,0,28
19,318,52,20,0,36
20,288,54,21,0,29
21,275,48,22,1,23
22,256,51,19,0,25
23,237,48,21,0,22
24,221,44,23,0,19
25,212,43,24,0,19
26,197,39,24,0,22
27,178,38,28,0,19
0,911,26,12,0,16
1,925,24,15,0,23
2,911,26,15,0,33
3,887,27,15,0,35
4,876,28,15,1,52
5,839,31,13,1,62
6,803,34,16,0,57
7,762,40,13,1,71
8,699,39,14,0,68
9,650,41,12,0,57
10,613,45,12,0,71
11,575,48,12,1,44
12,521,47,15,0,59
13,478,46,12,0,50
14,435,46,12,1,48
15,414,43,12,0,31
16,384,38,15,1,36
17,358,41,14,1,27
18,340,39,10,3,24
19,318,41,11,0,27
20,281,40,18,1,34
21,260,45,17,1,17
22,249,40,18,2,19
23,242,39,17,3,16
24,227,40,20,0,18
25,201,39,22,1,25
26,182,36,24,0,23
27,165,32,25,1,20
0,913,25,14,0,12
1,930,24,15,1,38
2,943,23,15,1,33
3,977,21,16,0,32
4,937,28,16,1,55
5,891,33,16,0,53
6,878,35,15,1,52
7,836,39,17,0,61
8,779,39,16,0,70
9,718,42,18,0,57
10,678,51,18,0,51
11,627,53,19,0,60
12,593,54,17,0,42
13,530,55,15,2,67
14,476,54,17,0,56
15,435,54,16,1,51
16,399,53,14,1,39
17,368,50,15,2,37
18,326,59,17,0,45
19,302,55,20,0,27
20,279,48,26,0,31
21,256,50,27,1,20
22,222,50,26,1,34
23,241,48,28,0,22
24,226,46,25,4,21
25,205,44,22,2,24
26,196,46,19,0,11
27,186,49,17,0,9
0,920,25,12,1,14
1,911,26,13,0,39
2,917,31,10,0,27
3,927,33,10,1,46
4,920,34,11,0,47
5,900,39,10,1,39
6,857,43,9,0,57
7,804,47,8,0,78
8,746,43,10,2,70
9,707,42,11,0,56
10,646,42,11,0,66
11,603,42,14,0,52
12,576,45,14,0,46
13,524,44,18,1,60
14,459,46,20,1,64
15,451,35,23,1,36
16,425,34,23,0,42
17,388,35,25,0,35
18,346,46,25,0,35
19,317,58,18,2,32
20,294,54,20,1,25
21,273,54,18,1,24
22,246,58,18,0,28
23,233,54,17,1,22
24,212,48,21,3,21
25,208,46,24,0,10
26,197,44,24,1,20
27,177,44,24,0,21
0,965,33,12,0,9
1,981,32,14,1,42
2,1023,34,12,1,26
3,1020,38,10,1,42
4,986,35,10,0,58
5,955,32,12,0,48
6,928,34,13,1,61
7,868,37,16,0,62
8,812,37,17,1,71
9,767,46,11,0,59
10,708,47,13,0,69
11,643,52,13,0,71
12,605,57,12,0,40
13,559,60,12,0,49
14,541,50,19,2,37
15,489,49,20,0,58
16,436,56,19,0,52
17,394,59,24,0,42
18,361,60,23,0,43
19,350,52,26,1,18
20,329,57,24,0,28
21,292,57,20,1,41
22,260,53,23,1,33
23,229,52,23,0,33
24,216,46,26,0,17
25,207,44,24,2,15
26,196,42,23,0,17
27,184,37,21,1,19
0,913,27,13,0,13
1,926,28,13,0,35
2,941,27,12,0,27
3,969,32,12,1,48
4,941,33,11,0,52
5,925,36,10,0,67
6,892,45,12,0,45
7,833,51,13,0,63
8,813,56,16,0,64
9,762,57,19,1,56
10,739,50,18,0,61
11,710,42,24,0,43
12,672,43,26,0,42
13,634,46,28,0,39
14,580,46,26,0,58
15,542,50,22,0,43
16,476,57,22,0,63
17,444,56,24,0,43
18,404,56,24,1,43
19,373,59,22,0,35
20,331,62,25,0,39
21,307,58,27,0,28
22,278,55,26,2,33
23,251,64,24,0,27
24,226,67,23,2,22
25,209,68,24,0,19
26,190,63,29,2,17
