day,home,inpatient_ward,intensive_care_unit,death,recovered
0,805,25,14,0,42
1,797,28,13,0,41
2,770,32,11,0,54
3,782,36,12,0,44
4,745,39,13,0,40
5,735,38,14,1,43
6,746,40,15,1,42
7,763,44,17,0,45
8,773,49,18,0,40
9,742,49,18,0,42
10,729,46,22,1,32
11,690,49,21,0,42
12,655,57,20,0,37
13,624,58,20,1,43
14,576,54,21,1,56
15,543,57,25,0,31
16,512,53,26,0,36
17,474,54,28,0,44
18,437,53,28,0,40
19,413,57,28,1,25
20,379,56,30,0,36
21,350,65,29,0,26
22,321,58,35,1,31
23,293,63,32,0,26
24,265,67,28,2,27
25,252,61,29,1,18
26,235,58,24,0,26
27,216,52,28,1,22
0,747,23,15,0,43
1,772,35,15,0,44
2,761,37,13,0,38
3,802,36,16,0,38
4,812,45,12,0,46
5,800,53,10,0,42
6,766,58,13,1,48
7,743,48,16,1,46
8,739,39,20,1,32
9,713,37,19,1,38
10,686,35,18,0,39
11,650,40,20,0,43
12,637,42,21,0,44
13,597,43,22,0,41
14,560,47,23,0,42
15,522,51,25,2,33
16,478,49,27,2,49
17,433,56,29,0,41
18,382,64,25,0,47
19,376,52,31,1,27
20,365,52,33,0,24
21,336,49,37,0,35
22,301,51,34,0,36
23,271,58,33,0,28
24,256,54,38,0,27
25,247,52,36,0,14
26,233,64,30,0,10
27,213,61,33,1,20
0,759,30,17,0,37
1,762,37,19,0,49
2,768,46,15,0,45
3,776,50,16,0,47
4,759,52,17,0,31
5,756,54,20,0,29
6,741,53,19,0,45
7,745,55,17,1,39
8,711,56,20,0,38
9,690,52,23,1,47
10,681,53,22,0,34
11,641,59,20,0,45
12,605,64,21,0,42
13,582,65,23,1,41
14,549,62,26,0,45
15,510,66,26,0,43
16,466,71,27,0,41
17,429,65,29,0,48
18,404,57,33,0,31
19,380,59,35,0,34
20,359,54,35,0,29
21,332,52,39,2,25
22,302,54,36,0,31
23,287,53,33,1,22
24,273,51,33,1,16
25,258,51,35,0,20
26,246,53,32,0,13
