day,home,inpatient_ward,intensive_care_unit,death,recovered
0,881,31,11,0,9
1,933,26,12,1,13
2,945,28,11,1,38
3,936,28,9,2,34
4,910,34,8,0,55
5,873,39,8,0,45
6,841,40,14,0,60
7,776,45,17,0,67
8,732,48,16,0,50
9,684,51,13,2,64
10,639,54,16,0,57
11,599,51,14,0,57
12,564,50,15,1,45
13,523,47,16,0,53
14,491,45,15,2,39
15,450,54,15,0,36
16,408,57,15,0,43
17,366,64,15,1,42
18,334,61,19,2,31
19,310,58,21,0,28
20,294,61,20,0,18
21,264,59,22,3,30
22,241,52,26,0,28
23,225,56,23,0,20
24,210,49,24,1,21
25,201,39,29,2,15
26,180,40,29,0,21
27,179,33,27,0,10
0,881,29,13,0,5
1,899,30,15,0,11
2,904,30,15,0,31
3,892,30,13,0,41
4,848,35,13,0,45
5,836,28,14,1,53
6,774,34,13,0,65
7,714,35,15,1,72
8,671,36,14,0,58
9,622,39,13,0,54
10,556,42,13,0,68
11,520,38,13,2,46
12,496,33,15,0,45
13,448,31,16,1,57
14,421,35,13,0,41
15,379,42,13,0,45
16,340,43,14,0,45
17,313,46,13,1,26
18,285,45,13,0,29
19,271,42,10,1,28
20,245,41,11,1,29
21,223,43,10,0,22
22,211,40,12,0,20
23,198,38,12,2,14
24,182,36,13,1,19
25,171,37,14,0,11
26,172,32,15,0,6
27,172,27,15,1,10
0,888,31,12,1,11
1,891,31,14,0,20
2,883,28,12,2,30
3,877,26,11,0,41
4,871,36,13,0,40
5,868,38,14,0,38
6,831,37,13,1,71
7,800,44,12,0,62
8,751,43,12,2,60
9,693,46,15,0,59
10,646,50,15,0,46
11,600,54,16,0,50
12,547,53,17,2,55
13,502,55,15,0,53
14,462,49,19,0,53
15,422,45,21,0,49
16,392,48,22,0,31
17,369,52,23,0,27
18,348,53,20,0,23
19,318,48,24,1,35
20,281,42,24,2,46
21,250,50,22,0,33
22,221,49,23,0,29
23,207,42,22,0,23
24,188,40,19,2,23
25,180,35,19,2,12
26,168,36,21,0,9
27,160,36,22,1,10
0,901,33,11,0,8
1,918,29,14,0,21
2,937,29,14,1,33
3,909,30,15,1,50
4,874,34,15,0,46
5,832,35,12,0,51
6,817,44,10,1,58
7,770,51,10,3,52
8,746,58,10,1,57
9,701,58,11,1,49
10,656,68,8,0,54
11,609,69,11,0,56
12,585,57,15,0,38
13,540,52,16,0,60
14,518,44,20,1,58
15,455,43,24,1,60
16,421,41,25,1,40
17,404,36,26,0,39
18,369,37,29,1,35
19,357,33,30,1,33
20,332,34,28,2,27
21,314,38,25,1,20
22,285,41,25,0,27
23,269,38,23,1,25
24,258,37,22,0,14
25,234,36,22,1,24
26,216,40,19,1,19
27,201,46,15,2,12
0,870,34,9,1,5
1,893,37,10,0,13
2,912,34,13,0,18
3,894,33,15,1,38
4,877,36,14,0,44
5,836,35,16,1,57
6,797,49,15,0,62
7,751,50,16,0,69
8,702,52,19,0,64
9,651,55,17,1,53
10,607,47,18,1,55
11,566,48,18,1,40
12,538,46,19,0,43
13,496,39,18,1,64
14,461,34,16,1,47
15,418,38,14,1,40
16,389,43,14,0,29
17,352,47,13,0,36
18,330,47,15,0,25
19,298,52,13,0,33
20,273,44,15,0,31
21,239,42,19,0,35
22,222,45,18,2,16
23,206,44,16,1,19
24,197,44,14,1,17
25,178,41,13,0,24
26,175,35,14,1,7
27,169,30,15,0,11
0,868,26,17,0,6
1,886,26,16,0,16
2,894,34,13,1,34
3,882,35,15,0,44
4,867,39,13,0,45
5,828,47,17,0,53
6,817,46,21,0,59
7,752,51,21,1,70
8,715,56,19,0,60
9,665,57,25,1,56
10,663,51,28,0,55
11,629,50,26,2,48
12,601,49,24,2,47
13,578,50,20,0,35
14,536,49,21,3,48
15,507,43,25,0,38
16,470,44,23,1,42
17,440,41,22,0,40
18,405,40,25,1,35
19,368,41,25,1,40
20,336,43,27,0,28
21,290,51,26,1,38
22,271,54,22,1,22
23,253,49,24,1,21
24,237,46,29,0,21
25,211,46,30,0,30
26,178,48,28,1,32
27,161,43,33,0,19
0,889,36,13,0,5
1,891,37,12,0,19
2,890,42,14,0,25
3,886,41,15,1,37
4,857,43,15,0,50
5,851,48,16,2,50
6,821,53,17,0,50
7,761,51,22,0,79
8,728,45,29,2,46
9,697,42,31,0,60
10,623,48,30,0,74
11,582,44,27,2,47
12,535,44,29,2,46
13,521,44,28,0,53
14,486,43,30,1,38
15,446,45,28,0,46
16,422,46,25,0,33
17,399,47,25,0,26
18,371,50,27,0,27
19,342,48,27,1,36
20,307,53,28,1,31
21,272,59,24,1,33
22,252,63,22,2,17
23,238,64,20,2,18
24,219,52,26,0,25
25,209,45,27,1,16
26,200,38,28,1,14
27,185,41,27,0,14
0,868,29,12,0,5
1,881,24,12,2,18
2,922,22,10,0,28
3,918,20,12,3,46
4,892,31,10,1,47
5,856,40,10,1,61
6,821,44,10,0,48
7,751,46,14,0,74
8,711,45,16,1,50
9,644,46,15,0,69
10,600,46,15,0,56
11,558,43,17,0,50
12,527,42,16,1,36
13,492,46,15,1,54
14,453,47,15,0,43
15,421,49,8,1,44
16,399,47,8,1,34
17,359,48,8,0,42
18,330,49,9,0,35
19,300,54,8,0,34
20,268,49,8,1,37
21,238,49,10,0,29
22,227,44,11,0,15
23,227,38,11,1,12
24,217,37,15,0,8
25,205,36,15,0,15
26,204,30,15,1,7
27,195,29,14,1,12
0,862,30,16,0,8
1,898,29,17,0,12
2,913,30,14,0,23
3,935,33,15,0,50
4,920,34,12,0,43
5,884,40,12,0,55
6,859,47,12,0,53
7,869,55,18,0,50
8,860,56,20,0,69
9,808,54,18,1,61
10,746,61,24,0,54
11,710,55,24,2,45
12,674,45,25,2,52
13,620,49,24,0,64
14,584,50,24,0,43
15,555,48,21,0,41
16,528,47,19,2,40
17,491,44,23,1,36
18,451,44,23,1,50
19,415,45,26,0,32
20,380,48,27,1,35
21,356,55,22,0,25
22,317,53,23,2,38
23,277,53,23,0,42
24,258,57,21,0,18
25,237,55,23,0,24
26,212,54,21,2,27
27,196,52,20,1,18
0,842,31,10,0,10
1,870,30,8,0,14
2,872,28,9,0,21
3,844,28,9,0,48
4,802,34,8,0,54
5,779,31,10,2,50
6,718,29,11,0,66
7,694,34,8,2,65
8,649,36,7,1,55
9,600,45,9,0,52
10,561,45,12,0,56
11,518,48,13,0,53
12,480,52,12,0,46
13,437,48,10,1,55
14,406,48,13,0,32
15,368,43,17,0,40
16,348,41,16,1,29
17,318,40,19,1,30
18,302,37,21,1,20
19,298,36,18,0,19
20,272,38,18,1,24
21,260,34,19,1,18
22,237,37,20,1,24
23,211,45,18,0,20
24,196,46,18,0,18
25,184,46,19,0,13
26,174,41,16,0,21
27,158,40,18,0,16
0,873,31,15,0,5
1,896,32,15,0,19
2,895,30,16,0,29
3,912,26,13,0,44
4,896,28,12,0,45
5,860,35,13,0,49
6,806,35,12,0,65
7,748,42,12,0,67
8,714,38,15,0,54
9,691,44,13,2,63
10,642,47,12,0,50
11,608,44,15,0,52
12,555,44,14,0,58
13,501,47,15,0,59
14,463,43,16,1,44
15,441,44,17,0,35
16,405,44,18,1,41
17,370,48,19,0,33
18,340,46,18,0,37
19,312,47,20,0,31
20,288,47,19,0,30
21,273,46,19,0,20
22,253,45,19,0,21
23,230,45,22,0,25
24,210,43,23,1,20
25,199,44,21,1,12
26,179,48,19,1,17
27,172,44,16,3,11
0,859,29,15,0,8
1,879,28,14,1,14
2,914,26,15,1,21
3,889,30,15,0,52
4,887,37,14,0,49
5,863,35,17,1,58
6,842,46,18,0,51
7,779,50,20,0,72
8,745,54,22,0,47
9,679,55,23,1,67
10,644,56,19,0,62
11,614,61,16,0,44
12,589,51,19,0,41
13,524,48,20,0,68
14,498,46,21,1,34
15,467,46,19,0,44
16,447,55,18,1,20
17,409,59,18,1,38
18,379,54,23,0,31
19,339,57,22,1,37
20,313,57,21,0,33
21,281,57,17,0,36
22,260,51,21,0,29
23,241,48,26,1,17
24,241,43,25,2,13
25,229,43,23,1,16
26,202,44,24,0,26
27,194,44,23,1,9
0,883,32,14,0,5
1,895,29,16,1,21
2,893,27,17,0,25
3,864,28,19,0,38
4,875,34,19,1,49
5,832,40,18,1,58
6,799,43,18,0,60
7,752,51,17,1,66
8,709,46,21,0,55
9,649,42,24,0,62
10,587,46,23,0,67
11,582,40,22,3,44
12,548,41,22,1,43
13,491,53,19,0,51
14,463,52,19,0,42
15,433,58,19,1,40
16,398,53,18,1,41
17,373,48,19,4,27
18,350,45,23,0,24
19,319,48,21,0,32
20,302,46,22,1,21
21,279,46,18,1,26
22,245,52,19,1,26
23,229,52,18,0,18
24,215,47,21,0,16
25,204,44,21,1,14
26,187,42,20,0,20
27,177,38,15,3,18
0,892,27,12,0,8
1,911,23,12,1,15
2,906,24,9,1,31
3,891,27,7,1,46
4,862,27,8,1,59
5,820,33,9,0,52
6,804,33,11,0,51
7,758,37,15,0,68
8,767,46,15,0,55
9,744,45,18,1,46
10,690,51,17,0,61
11,640,51,17,0,63
12,644,48,19,1,38
13,603,45,22,1,50
14,562,42,25,1,44
15,520,44,23,0,46
16,481,44,24,0,40
17,436,44,24,3,45
18,414,39,27,0,29
19,389,37,26,1,31
20,364,42,23,0,26
21,322,44,20,1,42
22,296,40,21,0,30
23,251,46,20,0,40
24,228,46,20,0,26
25,210,45,18,0,24
26,187,49,16,2,20
27,161,49,17,0,26
0,856,32,12,0,4
1,899,34,10,0,14
2,895,31,9,1,27
3,866,35,8,0,47
4,859,32,10,0,37
5,836,38,11,0,47
6,781,41,11,0,71
7,699,48,12,2,74
8,651,43,15,1,59
9,620,42,19,0,50
10,579,45,18,1,59
11,548,46,21,1,46
12,521,52,18,0,37
13,480,49,20,0,46
14,431,47,19,1,55
15,396,48,19,0,40
16,358,46,19,1,45
17,337,49,17,1,23
18,323,44,20,0,19
19,290,47,22,0,28
20,255,43,26,1,37
21,232,48,23,0,24
22,219,45,24,0,15
23,211,45,21,0,11
24,201,44,20,0,14
25,187,36,21,0,21
26,170,36,23,0,16
27,154,34,22,3,17
0,897,30,12,0,8
1,923,28,13,1,16
2,933,29,14,0,28
3,948,28,13,0,43
4,911,31,14,0,57
5,872,40,13,1,48
6,814,42,14,0,70
7,772,45,13,1,56
8,731,42,15,0,60
9,691,41,18,0,51
10,649,46,18,0,67
11,605,49,18,0,45
12,566,48,21,0,44
13,522,42,22,1,54
14,465,43,22,0,57
15,411,47,22,1,55
16,384,48,26,1,37
17,354,52,25,0,35
18,326,56,25,1,28
19,299,55,27,1,31
20,279,51,26,2,24
21,244,49,24,2,37
22,226,49,26,1,17
23,212,50,23,2,14
24,202,50,19,1,16
25,180,46,22,0,24
26,166,45,17,1,19
27,157,40,17,0,14
0,885,31,15,0,4
1,911,29,17,0,15
2,925,32,15,3,25
3,902,39,13,1,39
4,882,37,12,2,44
5,841,41,12,3,55
6,784,44,13,1,76
7,732,48,12,0,69
8,695,56,14,0,46
9,631,61,16,0,62
10,597,59,14,0,48
11,550,62,13,0,49
12,522,60,13,1,43
13,472,58,15,0,52
14,434,58,15,0,42
15,395,52,18,3,41
16,358,53,19,1,35
17,340,51,21,0,23
18,309,47,24,0,32
19,286,42,26,0,26
20,261,45,22,0,28
21,243,42,24,0,24
22,225,41,26,1,18
23,211,39,23,0,21
24,189,43,21,0,20
25,175,43,19,1,23
26,170,45,18,0,9
27,151,41,18,1,22
0,887,36,8,0,15
1,894,31,11,0,10
2,886,26,12,1,33
3,878,30,12,0,44
4,861,33,13,1,48
5,824,36,13,0,54
6,772,44,11,1,63
7,701,54,15,0,59
8,663,48,15,3,51
9,620,53,14,0,51
10,574,56,12,0,64
11,551,50,16,0,41
12,520,44,19,0,36
13,471,40,21,1,57
14,433,42,21,0,39
15,406,41,17,0,48
16,402,39,21,0,36
17,376,39,20,0,35
18,334,44,18,0,43
19,318,40,19,1,28
20,292,43,19,0,24
21,278,44,15,1,16
22,271,42,13,1,12
23,251,41,11,0,23
24,238,45,9,0,11
25,223,46,8,1,16
26,194,46,12,0,26
27,183,43,11,1,16
0,866,29,13,0,11
1,883,30,11,0,20
2,890,31,12,1,28
3,864,29,12,0,54
4,876,35,10,0,46
5,833,41,10,0,47
6,783,43,12,0,67
7,755,53,14,1,83
8,723,49,16,0,46
9,675,48,13,0,63
10,630,46,11,0,57
11,603,47,13,0,45
12,568,46,12,0,42
13,519,49,11,1,56
14,488,46,11,0,36
15,453,40,18,1,44
16,421,36,20,0,36
17,392,43,21,0,25
18,364,47,19,1,30
19,325,54,17,1,39
20,298,60,15,0,26
21,273,63,16,0,24
22,240,61,20,0,31
23,221,59,17,1,24
24,205,54,17,0,22
25,192,48,20,1,17
26,187,35,26,0,13
27,175,34,24,0,15
0,872,30,12,0,8
1,925,27,13,0,21
2,933,25,13,2,26
3,924,32,9,0,50
4,906,34,11,0,49
5,865,38,11,1,46
6,806,36,12,2,79
7,779,37,15,1,62
8,742,39,16,0,53
9,694,40,17,0,61
10,634,42,20,0,65
11,597,46,17,0,46
12,562,49,21,0,39
13,500,46,23,1,75
14,468,51,19,0,41
15,432,53,19,2,35
16,387,53,21,0,50
17,366,47,23,1,28
18,323,47,24,0,43
19,306,51,23,0,27
20,282,51,23,1,24
21,261,48,22,2,26
22,231,50,22,0,30
23,222,50,24,3,18
24,203,47,25,1,23
25,191,41,27,0,17
26,187,41,24,0,8
27,176,37,29,0,15
0,850,30,11,0,9
1,881,32,9,1,14
2,885,26,11,1,28
3,855,29,9,1,42
4,817,40,7,0,52
5,776,43,7,0,54
6,715,51,7,0,67
7,702,54,7,0,56
8,693,52,9,0,51
9,655,53,14,0,51
10,605,51,14,2,56
11,559,52,15,0,55
12,527,48,18,0,52
13,480,45,20,1,58
14,450,44,18,1,37
15,432,38,19,2,39
16,397,41,19,1,43
17,385,34,18,1,23
18,362,36,18,0,24
19,332,34,22,0,31
20,310,35,26,0,20
21,296,40,21,1,17
22,289,43,20,0,26
23,255,45,18,0,34
24,241,47,17,0,22
25,228,47,13,1,17
26,208,45,15,0,20
27,192,43,16,0,18
0,869,32,11,0,8
1,934,32,9,1,7
2,939,34,8,0,28
3,960,33,10,0,34
4,925,40,10,0,50
5,880,43,8,2,50
6,818,45,11,0,73
7,769,42,12,0,70
8,712,44,17,0,56
9,651,47,18,0,67
10,598,47,16,1,56
11,559,50,15,1,44
12,529,49,16,0,44
13,487,44,21,1,56
14,447,42,25,0,44
15,416,41,23,0,50
16,378,38,21,2,48
17,341,41,22,1,33
18,297,50,19,0,40
19,260,55,18,0,34
20,248,53,19,3,22
21,238,50,19,0,16
22,232,47,21,0,23
23,221,38,26,1,14
24,211,41,24,0,16
25,211,39,23,0,7
26,193,36,25,2,19
27,187,38,22,0,8
0,839,29,12,0,9
1,886,27,14,0,14
2,869,28,13,0,30
3,846,37,7,1,42
4,812,40,6,0,56
5,796,40,7,1,45
6,741,43,9,0,55
7,697,40,13,1,67
8,665,46,15,1,52
9,594,47,14,1,76
10,552,47,14,0,65
11,521,46,16,1,46
12,487,41,21,1,51
13,446,42,22,0,47
14,426,37,23,0,44
15,404,38,21,1,32
16,366,45,20,0,39
17,343,48,20,0,24
18,317,39,25,0,31
19,300,40,22,1,23
20,284,30,25,1,23
21,268,30,23,0,19
22,250,29,23,0,21
23,232,33,20,1,19
24,217,38,13,0,21
25,195,37,13,0,23
26,179,38,11,1,19
27,163,39,13,0,17
0,855,32,12,1,4
1,857,33,11,1,18
2,868,30,9,2,24
3,869,29,10,2,39
4,837,34,9,0,40
5,796,37,10,0,51
6,739,41,9,1,62
7,671,39,12,2,70
8,636,42,12,1,54
9,589,38,11,2,58
10,531,43,12,2,59
11,494,47,13,0,46
12,474,40,18,0,39
13,420,40,20,0,54
14,384,44,18,0,40
15,342,42,17,1,54
16,311,39,18,0,37
17,299,32,23,0,23
18,272,35,22,1,30
19,266,38,19,0,17
20,243,43,16,1,21
21,232,47,14,0,12
22,230,44,15,0,11
23,206,47,14,0,23
24,192,45,15,0,15
25,180,45,14,0,14
26,171,43,13,1,12
27,162,38,14,0,16
0,859,31,12,0,5
1,872,31,11,1,17
2,903,30,12,0,23
3,903,27,15,0,33
4,869,33,15,1,58
5,850,37,14,2,61
6,787,41,16,0,68
7,731,47,18,0,63
8,710,46,17,0,54
9,682,47,19,2,60
10,619,51,19,1,66
11,587,50,21,2,40
12,554,49,19,1,37
13,514,45,19,0,53
14,471,48,14,0,49
15,438,50,14,0,35
16,413,47,13,0,35
17,366,51,11,1,44
18,349,52,14,0,28
19,320,53,16,0,32
20,301,47,16,2,28
21,286,41,17,2,22
22,261,40,18,1,25
23,233,40,21,0,29
24,221,38,20,0,28
25,206,41,17,2,13
26,198,37,20,0,9
27,187,34,21,0,13
0,908,28,12,0,4
1,900,24,14,1,20
2,893,27,13,0,27
3,896,33,10,2,31
4,907,35,11,0,47
5,876,46,10,0,46
6,837,51,10,0,69
7,786,50,13,0,73
8,748,48,14,0,56
9,718,57,16,0,53
10,661,55,16,0,66
11,615,46,19,1,54
12,587,44,18,1,47
13,536,45,19,1,55
14,510,36,26,0,37
15,476,40,26,0,42
16,464,38,25,0,27
17,445,39,25,0,28
18,406,45,23,0,37
19,369,41,21,0,45
20,336,46,21,0,29
21,298,52,23,0,31
22,268,47,25,0,36
23,244,42,26,1,28
24,214,47,23,0,29
25,198,51,21,0,16
26,189,47,20,1,14
27,177,42,20,0,18
0,868,29,11,0,8
1,889,28,12,0,11
2,883,31,11,0,39
3,854,31,10,4,48
4,835,38,10,1,49
5,796,39,13,0,57
6,768,42,12,0,57
7,732,42,13,1,55
8,699,44,14,1,57
9,653,44,15,2,54
10,626,38,20,0,61
11,581,39,19,1,53
12,565,37,18,1,44
13,511,37,17,1,60
14,473,36,15,1,41
15,436,29,16,0,47
16,408,29,17,0,32
17,382,35,15,1,31
18,360,37,12,1,22
19,323,32,16,1,37
20,289,41,13,1,28
21,265,39,16,0,28
22,248,36,17,0,23
23,232,37,13,0,21
24,215,38,13,1,19
25,192,34,13,1,26
26,174,37,11,1,17
27,152,36,13,2,22
0,896,33,10,2,7
1,946,31,11,2,22
2,1002,31,14,0,27
3,964,36,14,0,48
4,926,49,14,1,46
5,881,49,17,0,53
6,832,43,16,1,60
7,777,51,13,1,81
8,736,48,15,0,56
9,712,44,18,0,40
10,667,49,20,0,50
11,619,50,22,0,55
12,579,53,20,0,43
13,537,51,18,2,54
14,503,50,18,1,36
15,462,47,20,0,51
16,412,48,20,1,60
17,354,52,22,0,55
18,324,55,19,1,30
19,296,56,20,0,28
20,283,50,18,1,21
21,261,57,17,1,20
22,242,50,19,1,26
23,224,50,19,0,18
24,196,50,20,0,27
25,182,49,16,0,20
26,176,43,15,2,14
27,167,43,14,1,9
0,863,30,12,0,3
1,888,32,13,0,13
2,888,29,14,0,34
3,853,29,14,0,43
4,823,29,15,0,53
5,805,34,16,0,44
6,749,40,16,0,63
7,691,48,14,1,70
8,686,48,15,1,52
9,643,51,18,0,61
10,584,58,17,0,55
11,537,60,15,0,53
12,515,56,14,0,36
13,468,52,16,1,56
14,439,50,17,0,43
15,414,50,17,0,31
16,385,49,16,2,35
17,359,48,15,1,28
18,342,45,18,0,25
19,324,41,22,0,25
20,302,48,20,0,20
21,275,58,16,1,24
22,261,50,17,1,21
23,226,51,18,0,33
24,228,50,20,2,25
25,211,41,26,2,18
26,194,37,27,1,19
27,181,37,27,0,13
0,864,31,11,0,7
1,879,30,11,1,11
2,851,26,13,1,34
3,817,30,14,1,42
4,802,34,12,0,44
5,783,35,11,0,53
6,724,34,16,0,66
7,644,40,19,0,73
8,628,43,19,1,41
9,593,53,17,1,62
10,572,48,17,1,42
11,552,47,19,0,31
12,497,41,25,0,58
13,455,37,23,1,59
14,422,45,19,0,40
15,386,46,17,0,40
16,343,55,13,2,40
17,316,57,11,0,28
18,288,55,14,0,30
19,267,54,12,0,25
20,241,54,14,0,26
21,221,51,18,1,18
22,211,47,19,1,14
23,195,42,20,0,21
24,176,43,20,0,18
25,161,41,20,0,20
26,153,37,20,1,12
27,133,37,20,0,21
0,890,26,14,0,8
1,923,26,15,0,12
2,984,35,12,0,29
3,983,39,12,0,40
4,958,40,14,1,47
5,956,39,16,0,45
6,897,42,18,0,66
7,812,51,15,0,83
8,772,48,17,0,58
9,711,44,19,0,70
10,694,42,21,0,50
11,663,35,22,0,46
12,622,34,20,0,49
13,584,38,17,0,64
14,548,38,16,0,39
15,530,42,15,0,57
16,490,47,14,0,39
17,451,43,14,3,53
18,400,44,16,1,48
19,354,51,18,0,39
20,324,49,21,0,32
21,303,53,19,0,22
22,289,48,20,1,20
23,269,43,21,0,26
24,256,37,23,1,16
25,232,35,26,0,26
26,219,37,23,0,14
27,199,34,23,0,24
0,849,33,9,0,4
1,878,34,8,2,17
2,883,29,10,0,25
3,882,26,7,0,46
4,842,31,7,0,46
5,816,29,8,1,48
6,805,31,7,0,58
7,734,31,5,0,82
8,678,33,7,1,64
9,664,35,9,0,53
10,636,42,9,1,48
11,590,42,11,0,51
12,548,43,15,1,39
13,484,45,16,0,66
14,445,42,15,0,45
15,405,47,16,0,35
16,365,45,17,0,42
17,342,37,17,2,36
18,318,33,20,2,30
19,306,32,18,2,16
20,285,37,17,2,19
21,256,43,13,0,28
22,231,46,11,0,24
23,220,46,8,0,17
24,198,44,8,1,26
25,175,39,8,1,28
26,161,38,9,0,19
27,157,34,13,1,8
0,910,28,14,0,4
1,927,27,14,0,14
2,927,33,11,1,35
3,922,29,12,1,46
4,902,30,13,1,51
5,891,33,14,0,48
6,855,34,17,0,56
7,808,33,17,1,76
8,759,37,18,2,59
9,711,39,20,0,60
10,654,40,19,1,63
11,627,48,17,0,46
12,593,39,20,0,43
13,536,38,20,1,62
14,500,38,20,0,38
15,443,41,20,0,61
16,415,42,19,0,33
17,373,54,15,1,35
18,325,60,15,1,42
19,298,57,17,2,29
20,266,57,18,1,30
21,246,54,22,0,24
22,227,51,23,0,23
23,211,50,23,0,18
24,190,46,24,2,22
25,174,41,25,1,19
26,163,40,24,0,16
27,151,38,25,0,15
0,858,31,10,0,8
1,888,27,12,1,18
2,884,23,12,0,24
3,857,32,10,0,44
4,820,34,9,1,63
5,782,36,10,1,54
6,728,41,10,0,69
7,664,46,13,1,64
8,619,49,13,0,53
9,567,46,13,0,66
10,527,48,12,1,49
11,511,45,12,0,44
12,476,39,13,0,51
13,426,40,13,1,54
14,392,40,15,0,34
15,363,33,17,1,34
16,336,23,22,0,34
17,313,25,21,1,24
18,292,26,20,1,23
19,257,31,18,0,34
20,248,24,21,1,12
21,222,23,23,0,28
22,204,31,19,0,16
23,191,29,17,1,18
24,175,30,15,1,17
25,166,33,14,1,12
26,149,35,12,0,18
27,131,34,13,0,20
0,850,29,10,2,7
1,878,24,11,1,17
2,883,26,11,0,29
3,863,25,9,0,43
4,835,24,8,2,57
5,820,28,7,0,48
6,851,36,11,0,55
7,784,40,12,0,74
8,721,42,13,0,67
9,672,44,16,0,56
10,625,46,15,0,51
11,587,45,15,0,54
12,543,49,18,2,43
13,495,47,21,0,58
14,466,44,20,2,36
15,443,41,18,1,30
16,409,41,18,0,37
17,379,38,19,1,36
18,353,39,18,1,25
19,325,34,22,0,30
20,308,33,23,1,33
21,257,39,19,0,49
22,227,49,19,1,25
23,206,44,22,0,27
24,185,48,18,0,21
25,174,46,18,0,18
26,166,42,19,0,11
27,152,41,18,0,16
0,886,37,12,0,10
1,920,30,13,1,17
2,925,22,14,1,31
3,885,35,9,0,47
4,869,44,4,1,42
5,840,40,8,0,52
6,820,42,10,0,53
7,763,46,9,1,81
8,726,41,13,0,51
9,671,40,15,2,61
10,631,36,17,1,47
11,579,36,16,0,61
12,536,42,11,0,46
13,503,39,11,0,47
14,454,43,11,0,47
15,422,53,10,0,38
16,376,59,10,1,40
17,343,57,12,1,34
18,310,56,15,0,33
19,284,53,18,0,27
20,276,46,20,1,25
21,249,48,22,0,26
22,223,48,21,2,26
23,198,47,22,1,24
24,187,46,21,1,13
25,196,42,24,0,12
26,182,36,25,1,20
27,172,33,24,0,15
0,860,27,17,0,10
1,868,27,16,0,13
2,859,25,13,0,36
3,838,25,12,1,47
4,828,32,10,1,41
5,789,31,10,0,51
6,729,36,10,0,61
7,675,40,12,0,60
8,631,40,15,0,47
9,590,44,16,1,63
10,533,48,19,0,51
11,499,47,19,0,50
12,466,48,17,1,36
13,422,42,17,1,65
14,381,42,20,0,41
15,347,44,20,1,41
16,317,41,20,0,34
17,295,39,20,0,30
18,277,40,18,1,29
19,269,39,20,0,17
20,254,40,19,0,20
21,229,37,18,1,29
22,216,36,18,0,15
23,202,40,15,0,15
24,178,43,15,0,21
25,179,40,17,0,4
26,165,39,16,1,15
27,154,34,17,1,14
0,834,28,12,0,13
1,868,28,13,0,14
2,851,24,10,5,29
3,836,22,11,0,41
4,814,25,14,0,42
5,815,26,16,0,45
6,770,35,15,0,65
7,706,32,14,0,82
8,663,29,12,2,53
9,605,32,13,0,58
10,558,33,15,0,57
11,513,35,13,1,45
12,468,38,9,1,50
