age_group_std,fj_smitadra,fj_spitala,fj_icu
0-9,25,0,0
10-19,84,0,0
20-29,157,2,0
30-39,166,0,0
40-49,223,6,2
50-59,177,8,3
60-69,135,19,9
70-79,37,13,4
80+,14,10,0
