day,home,inpatient_ward,intensive_care_unit,death,recovered
0,883,23,10,0,4
1,897,19,10,0,24
2,914,19,10,0,40
3,899,18,10,1,43
4,863,22,9,1,65
5,859,28,10,0,63
6,822,29,10,0,57
7,775,30,10,1,64
8,719,36,8,1,59
9,685,36,9,0,41
10,662,33,8,2,47
11,615,32,10,0,53
12,587,35,12,0,35
13,553,34,12,1,45
14,523,35,11,0,39
15,495,33,10,1,37
16,458,37,10,0,40
17,426,37,10,0,46
18,398,35,11,0,38
19,374,36,8,0,37
20,333,35,9,0,44
21,318,32,10,0,32
22,293,26,13,0,30
23,261,28,13,0,32
24,246,27,13,0,18
25,227,29,13,0,20
26,206,28,12,0,23
27,194,24,12,0,17
28,196,23,13,0,19
0,895,25,10,0,5
1,898,19,12,1,37
2,938,23,12,0,33
3,915,23,10,0,42
4,901,24,10,0,64
5,867,34,8,0,57
6,841,35,7,0,55
7,868,36,9,0,51
8,870,37,10,0,58
9,833,38,9,0,56
10,793,38,11,0,53
11,764,39,12,0,54
12,747,37,14,0,30
13,712,39,13,1,42
14,699,36,14,1,34
15,672,36,13,0,43
16,631,34,13,1,49
17,581,39,13,0,53
18,564,35,14,0,39
19,532,37,13,1,56
20,506,35,15,1,31
21,470,39,15,0,35
22,430,39,14,0,57
23,412,39,12,0,42
24,380,44,9,0,30
25,339,38,13,0,44
26,321,30,16,0,28
27,300,31,13,0,23
28,278,30,13,0,24
0,894,25,11,0,6
1,911,18,13,1,29
2,908,19,13,0,38
3,904,23,13,0,43
4,873,28,13,0,62
5,828,34,12,0,72
6,829,37,11,1,53
7,791,33,12,0,61
8,766,40,11,0,44
9,738,42,10,0,52
10,695,38,12,0,56
11,662,34,14,0,40
12,652,33,13,0,44
13,612,34,16,0,56
14,585,32,17,0,29
15,547,34,14,1,54
16,523,37,12,0,35
17,490,34,17,0,35
18,470,40,17,0,30
19,438,41,15,0,40
20,403,35,16,0,41
21,359,37,15,0,47
22,333,40,16,0,25
23,309,39,15,0,31
24,296,38,14,0,24
25,277,33,16,0,30
26,272,31,13,0,21
27,254,32,12,1,28
28,253,36,10,0,21
0,847,22,12,0,8
1,938,18,11,1,31
2,951,23,10,0,36
3,965,27,12,0,41
4,951,34,15,0,62
5,918,36,16,1,49
6,887,38,14,0,61
7,845,45,14,0,53
8,886,44,16,0,51
9,837,53,14,0,58
10,819,53,17,0,56
11,784,52,19,0,52
12,778,43,18,0,30
13,740,44,18,0,45
14,716,43,20,0,38
15,703,48,16,0,34
16,653,45,17,2,56
17,601,47,18,1,51
18,563,48,16,0,49
19,526,37,16,1,52
20,503,39,17,0,27
21,473,44,15,0,31
22,445,36,17,0,40
23,386,39,18,0,63
24,360,40,15,1,30
25,326,41,14,0,39
26,298,41,12,0,37
27,273,39,12,0,31
28,245,36,13,0,31
0,864,19,11,0,6
1,877,16,12,0,26
2,903,22,11,0,31
3,892,30,6,1,38
4,866,30,7,0,70
5,837,29,9,0,59
6,811,34,8,0,40
7,763,39,8,1,59
8,705,43,8,0,63
9,675,42,8,0,54
10,642,41,10,0,51
11,615,45,11,0,45
12,600,39,8,1,44
13,575,39,7,0,54
14,558,42,8,0,25
15,532,39,6,0,38
16,526,37,6,0,36
17,490,35,8,0,43
18,459,35,6,0,37
19,411,36,5,1,53
20,385,34,7,0,29
21,369,32,10,0,22
22,340,31,12,0,32
23,323,27,16,0,20
24,305,25,17,0,21
25,293,24,17,2,22
26,292,27,12,1,22
27,266,25,15,0,27
28,247,23,16,0,21
0,849,25,10,0,6
1,901,20,10,3,29
2,899,16,13,2,37
3,933,19,10,0,35
4,898,20,10,1,71
5,895,24,11,0,58
6,855,33,7,0,47
7,821,34,7,0,62
8,768,36,7,0,59
9,724,40,7,0,51
10,687,40,8,0,54
11,673,42,10,0,50
12,640,39,14,0,47
13,614,36,14,0,45
14,589,34,15,1,32
15,561,34,15,0,42
16,521,42,16,0,39
17,474,44,17,0,44
18,432,45,16,0,51
19,407,46,14,1,31
20,366,42,15,1,44
21,335,39,13,1,36
22,306,36,11,1,43
23,298,38,8,1,19
24,286,33,8,0,19
25,269,31,8,0,24
26,242,30,8,0,28
27,230,26,8,1,18
28,207,29,6,0,23
0,871,25,9,0,5
1,872,16,9,1,34
2,904,21,9,0,44
3,902,22,8,1,40
4,900,19,11,0,44
5,834,24,8,0,73
6,802,23,5,1,54
7,768,30,4,0,58
8,728,30,4,0,48
9,707,31,5,0,51
10,679,33,6,1,47
11,635,33,6,0,59
12,613,32,7,0,43
13,564,38,10,0,57
14,542,36,13,0,33
15,512,35,10,0,38
16,480,36,8,1,42
17,451,35,11,0,60
18,415,39,11,0,43
19,393,36,14,0,41
20,375,33,14,0,26
21,350,33,11,2,27
22,333,32,11,0,25
23,323,24,12,1,17
24,289,24,12,0,35
25,275,19,12,0,21
26,263,21,10,0,17
27,255,17,9,0,20
28,257,17,10,0,18
0,845,24,12,0,6
1,866,22,13,0,33
2,887,27,15,0,40
3,900,27,13,1,40
4,878,31,11,1,47
5,828,31,14,0,68
6,835,40,9,1,56
7,801,35,11,0,55
8,782,37,11,0,49
9,786,38,9,0,49
10,795,41,10,0,56
11,748,37,9,0,61
12,719,32,11,0,41
13,681,36,9,0,51
14,658,38,6,1,26
15,647,30,6,0,36
16,608,30,8,0,43
17,586,29,7,0,48
18,552,28,8,0,41
19,531,29,7,0,44
20,507,30,8,0,28
21,474,31,8,0,42
22,457,35,7,0,32
23,424,32,7,0,41
24,399,28,7,2,39
25,354,26,6,1,50
26,324,27,8,0,28
27,301,24,9,0,29
28,300,24,8,0,26
0,895,22,12,0,6
1,912,19,11,2,29
2,928,24,10,0,37
3,950,24,8,0,45
4,937,28,7,0,63
5,914,30,7,0,60
