age_group_std,fj_smitadra,fj_spitala,fj_icu
0-9,20,0,0
10-19,71,0,0
20-29,149,2,0
30-39,168,0,0
40-49,224,3,1
50-59,180,6,2
60-69,127,15,5
70-79,36,11,4
80+,7,2,0
