date,state,median,quantile25,quantile75,quanitle975
2022-01-05,Legudeild,21,20,22,25
2022-01-05,Gjörgæsla,8,8,9,10
2022-01-06,Legudeild,31,28,33,39
2022-01-06,Gjörgæsla,9,8,11,13
2022-01-07,Legudeild,39,36,42,50
2022-01-07,Gjörgæsla,11,9,12,15
2022-01-08,Legudeild,46,42,50,59
2022-01-08,Gjörgæsla,12,10,13,17
2022-01-09,Legudeild,51,46,55,63
2022-01-09,Gjörgæsla,12,10,14,18
2022-01-10,Legudeild,54,49,59,66
2022-01-10,Gjörgæsla,13,11,15,19
2022-01-11,Legudeild,56,51,60,70
2022-01-11,Gjörgæsla,14,11,16,20
2022-01-12,Legudeild,58,53,63,74
2022-01-12,Gjörgæsla,14,12,17,21
2022-01-13,Legudeild,62,56,66,76
2022-01-13,Gjörgæsla,15,13,18,23
2022-01-14,Legudeild,64,59,69,79
2022-01-14,Gjörgæsla,16,14,18,23
2022-01-15,Legudeild,66,61,72,83
2022-01-15,Gjörgæsla,17,14,19,24
2022-01-16,Legudeild,69,64,75,89
2022-01-16,Gjörgæsla,17,15,20,26
2022-01-17,Legudeild,72,67,77,89
2022-01-17,Gjörgæsla,18,15,21,27
2022-01-18,Legudeild,75,69,80,91
2022-01-18,Gjörgæsla,19,16,22,28
2022-01-19,Legudeild,77,71,82,94
2022-01-19,Gjörgæsla,20,17,23,28
2022-01-20,Legudeild,78,73,83,95
2022-01-20,Gjörgæsla,20,17,23,28
