date,state,median,quantile25,quantile75,quanitle975
2020-04-11,Legudeild,25,23,26,29
2020-04-11,Gjörgæsla,8,8,9,11
2020-04-12,Legudeild,23,20,24,28
2020-04-12,Gjörgæsla,9,8,10,12
2020-04-13,Legudeild,21,19,24,29
2020-04-13,Gjörgæsla,9,8,10,13
2020-04-14,Legudeild,21,18,23,28
2020-04-14,Gjörgæsla,9,8,11,14
2020-04-15,Legudeild,21,18,24,29
2020-04-15,Gjörgæsla,9,8,11,14
2020-04-16,Legudeild,21,18,24,29
2020-04-16,Gjörgæsla,9,8,11,14
2020-04-17,Legudeild,21,19,24,29
2020-04-17,Gjörgæsla,9,8,11,15
2020-04-18,Legudeild,22,19,25,31
2020-04-18,Gjörgæsla,9,8,11,15
2020-04-19,Legudeild,22,19,25,31
2020-04-19,Gjörgæsla,9,7,11,15
2020-04-20,Legudeild,22,19,25,31
2020-04-20,Gjörgæsla,9,7,11,15
2020-04-21,Legudeild,22,19,25,30
2020-04-21,Gjörgæsla,9,7,11,15
2020-04-22,Legudeild,21,18,24,30
2020-04-22,Gjörgæsla,9,7,11,15
2020-04-23,Legudeild,20,18,24,29
2020-04-23,Gjörgæsla,8,7,11,15
2020-04-24,Legudeild,20,17,23,29
2020-04-24,Gjörgæsla,8,6,10,14
2020-04-25,Legudeild,19,16,22,28
2020-04-25,Gjörgæsla,8,6,10,14
2020-04-26,Legudeild,18,15,21,26
2020-04-26,Gjörgæsla,8,6,10,14
2020-04-27,Legudeild,17,15,20,25
2020-04-27,Gjörgæsla,8,6,10,14
2020-04-28,Legudeild,17,14,19,24
2020-04-28,Gjörgæsla,7,6,9,13
2020-04-29,Legudeild,16,13,18,24
2020-04-29,Gjörgæsla,7,6,9,13
2020-04-30,Legudeild,15,13,18,22
2020-04-30,Gjörgæsla,7,5,9,12
2020-05-01,Legudeild,14,12,17,21
2020-05-01,Gjörgæsla,7,5,9,12
2020-05-02,Legudeild,14,11,16,21
2020-05-02,Gjörgæsla,7,5,8,11
2020-05-03,Legudeild,13,10,15,20
2020-05-03,Gjörgæsla,6,5,8,11
2020-05-04,Legudeild,12,10,15,19
2020-05-04,Gjörgæsla,6,5,8,11
2020-05-05,Legudeild,12,9,14,19
2020-05-05,Gjörgæsla,6,4,7,11
2020-05-06,Legudeild,11,9,13,18
2020-05-06,Gjörgæsla,5,4,7,10
2020-05-07,Legudeild,10,8,13,17
2020-05-07,Gjörgæsla,5,4,7,10
2020-05-08,Legudeild,10,8,12,17
2020-05-08,Gjörgæsla,5,4,6,10
2020-05-09,Legudeild,9,7,11,16
2020-05-09,Gjörgæsla,5,3,6,10
