date,state,median,quantile25,quantile75,quanitle975
2020-04-06,Legudeild,23,21,24,28
2020-04-06,Gjörgæsla,11,10,12,14
2020-04-07,Legudeild,20,18,22,27
2020-04-07,Gjörgæsla,11,10,13,16
2020-04-08,Legudeild,23,20,25,31
2020-04-08,Gjörgæsla,11,10,13,16
2020-04-09,Legudeild,27,24,30,36
2020-04-09,Gjörgæsla,10,8,12,15
2020-04-10,Legudeild,30,27,34,41
2020-04-10,Gjörgæsla,10,9,12,16
2020-04-11,Legudeild,34,30,37,45
2020-04-11,Gjörgæsla,10,9,12,16
2020-04-12,Legudeild,37,33,41,48
2020-04-12,Gjörgæsla,9,8,11,15
2020-04-13,Legudeild,39,34,42,50
2020-04-13,Gjörgæsla,10,8,12,16
2020-04-14,Legudeild,40,36,44,52
2020-04-14,Gjörgæsla,10,8,12,17
2020-04-15,Legudeild,41,37,45,53
2020-04-15,Gjörgæsla,10,8,13,17
2020-04-16,Legudeild,40,36,44,52
2020-04-16,Gjörgæsla,11,9,13,18
2020-04-17,Legudeild,39,35,43,52
2020-04-17,Gjörgæsla,12,10,14,19
2020-04-18,Legudeild,38,33,41,50
2020-04-18,Gjörgæsla,13,10,15,20
2020-04-19,Legudeild,37,33,41,49
2020-04-19,Gjörgæsla,13,11,16,20
2020-04-20,Legudeild,35,31,39,47
2020-04-20,Gjörgæsla,13,11,16,21
2020-04-21,Legudeild,35,31,39,47
2020-04-21,Gjörgæsla,13,11,15,20
2020-04-22,Legudeild,35,31,39,47
2020-04-22,Gjörgæsla,13,11,16,20
2020-04-23,Legudeild,34,30,39,47
2020-04-23,Gjörgæsla,13,11,16,21
2020-04-24,Legudeild,34,29,38,46
2020-04-24,Gjörgæsla,13,11,16,20
2020-04-25,Legudeild,34,30,38,46
2020-04-25,Gjörgæsla,13,10,15,20
2020-04-26,Legudeild,33,29,37,46
2020-04-26,Gjörgæsla,13,10,15,20
2020-04-27,Legudeild,33,29,38,45
2020-04-27,Gjörgæsla,13,10,15,20
2020-04-28,Legudeild,32,28,37,45
2020-04-28,Gjörgæsla,12,10,15,20
2020-04-29,Legudeild,31,27,36,44
2020-04-29,Gjörgæsla,12,10,14,20
2020-04-30,Legudeild,31,26,35,44
2020-04-30,Gjörgæsla,12,9,14,19
2020-05-01,Legudeild,30,26,34,42
2020-05-01,Gjörgæsla,11,9,14,19
2020-05-02,Legudeild,29,25,33,40
2020-05-02,Gjörgæsla,11,9,13,18
2020-05-03,Legudeild,28,24,32,39
2020-05-03,Gjörgæsla,11,8,13,17
2020-05-04,Legudeild,27,23,30,38
2020-05-04,Gjörgæsla,10,8,13,17
