date,state,median,quantile25,quantile75,quanitle975
2022-01-04,Legudeild,19,18,20,23
2022-01-04,Gjörgæsla,7,7,8,9
2022-01-05,Legudeild,28,25,30,36
2022-01-05,Gjörgæsla,8,7,9,12
2022-01-06,Legudeild,35,32,39,45
2022-01-06,Gjörgæsla,9,8,10,13
2022-01-07,Legudeild,42,39,46,54
2022-01-07,Gjörgæsla,10,8,12,15
2022-01-08,Legudeild,48,43,52,61
2022-01-08,Gjörgæsla,11,9,13,16
2022-01-09,Legudeild,52,48,56,66
2022-01-09,Gjörgæsla,11,10,13,18
2022-01-10,Legudeild,55,50,59,69
2022-01-10,Gjörgæsla,12,10,15,19
2022-01-11,Legudeild,57,52,62,72
2022-01-11,Gjörgæsla,13,11,15,20
2022-01-12,Legudeild,60,55,64,74
2022-01-12,Gjörgæsla,14,12,16,21
2022-01-13,Legudeild,63,58,68,77
2022-01-13,Gjörgæsla,15,12,17,22
2022-01-14,Legudeild,66,61,71,80
2022-01-14,Gjörgæsla,16,13,18,23
2022-01-15,Legudeild,70,64,75,86
2022-01-15,Gjörgæsla,16,14,19,24
2022-01-16,Legudeild,72,66,78,88
2022-01-16,Gjörgæsla,17,14,20,25
2022-01-17,Legudeild,75,68,81,92
2022-01-17,Gjörgæsla,18,15,21,27
2022-01-18,Legudeild,77,71,83,95
2022-01-18,Gjörgæsla,19,16,21,26
2022-01-19,Legudeild,79,74,85,99
2022-01-19,Gjörgæsla,20,16,22,27
