date,state,median,quantile25,quantile75,quanitle975
2022-01-07,Legudeild,24,23,25,28
2022-01-07,Gjörgæsla,8,8,9,10
2022-01-08,Legudeild,33,31,36,42
2022-01-08,Gjörgæsla,10,9,11,14
2022-01-09,Legudeild,40,37,44,52
2022-01-09,Gjörgæsla,11,9,12,16
2022-01-10,Legudeild,45,41,49,58
2022-01-10,Gjörgæsla,12,10,14,18
2022-01-11,Legudeild,48,44,51,61
2022-01-11,Gjörgæsla,13,11,15,19
2022-01-12,Legudeild,51,46,55,64
2022-01-12,Gjörgæsla,13,11,15,21
2022-01-13,Legudeild,54,49,59,69
2022-01-13,Gjörgæsla,14,12,16,21
2022-01-14,Legudeild,57,52,62,72
2022-01-14,Gjörgæsla,15,12,17,23
2022-01-15,Legudeild,59,54,63,75
2022-01-15,Gjörgæsla,16,13,18,23
2022-01-16,Legudeild,62,56,66,76
2022-01-16,Gjörgæsla,16,14,19,23
2022-01-17,Legudeild,63,59,68,78
2022-01-17,Gjörgæsla,17,14,19,25
2022-01-18,Legudeild,65,60,70,81
2022-01-18,Gjörgæsla,17,15,20,26
2022-01-19,Legudeild,67,61,72,83
2022-01-19,Gjörgæsla,18,16,21,27
2022-01-20,Legudeild,68,63,74,84
2022-01-20,Gjörgæsla,19,16,22,28
2022-01-21,Legudeild,69,65,75,86
2022-01-21,Gjörgæsla,20,17,23,29
2022-01-22,Legudeild,71,65,77,88
2022-01-22,Gjörgæsla,20,17,23,29
