date,state,median,lower,upper
2020-10-21,Legudeild,22,19,26
2020-10-21,Gjörgæsla,3,2,5
2020-10-22,Legudeild,22,17,29
2020-10-22,Gjörgæsla,3,1,5
2020-10-23,Legudeild,23,16,30
2020-10-23,Gjörgæsla,3,1,7
2020-10-24,Legudeild,24,15,32
2020-10-24,Gjörgæsla,3,1,7
