date,state,median,quantile25,quantile75,quanitle95
2020-04-04,Legudeild,27,25,29,31
2020-04-04,Gjörgæsla,13,12,14,16
2020-04-05,Legudeild,27,25,30,34
2020-04-05,Gjörgæsla,15,13,16,19
2020-04-06,Legudeild,27,25,31,36
2020-04-06,Gjörgæsla,15,14,17,19
2020-04-07,Legudeild,31,28,34,40
2020-04-07,Gjörgæsla,15,13,17,20
2020-04-08,Legudeild,34,30,37,44
2020-04-08,Gjörgæsla,16,13,18,21
2020-04-09,Legudeild,39,35,42,48
2020-04-09,Gjörgæsla,15,13,17,20
2020-04-10,Legudeild,43,39,47,52
2020-04-10,Gjörgæsla,16,13,18,21
2020-04-11,Legudeild,46,42,51,57
2020-04-11,Gjörgæsla,16,14,19,23
2020-04-12,Legudeild,51,46,55,61
2020-04-12,Gjörgæsla,18,15,20,24
2020-04-13,Legudeild,52,47,57,65
2020-04-13,Gjörgæsla,19,16,21,26
2020-04-14,Legudeild,53,48,57,65
2020-04-14,Gjörgæsla,20,17,22,28
2020-04-15,Legudeild,53,48,58,64
2020-04-15,Gjörgæsla,21,18,24,29
2020-04-16,Legudeild,53,47,57,64
2020-04-16,Gjörgæsla,22,19,25,29
2020-04-17,Legudeild,51,46,56,62
2020-04-17,Gjörgæsla,23,20,26,30
2020-04-18,Legudeild,51,46,56,64
2020-04-18,Gjörgæsla,24,21,27,30
2020-04-19,Legudeild,52,47,57,65
2020-04-19,Gjörgæsla,24,21,28,32
2020-04-20,Legudeild,53,47,59,67
2020-04-20,Gjörgæsla,25,21,28,33
2020-04-21,Legudeild,54,48,60,68
2020-04-21,Gjörgæsla,25,22,28,34
2020-04-22,Legudeild,54,48,59,70
2020-04-22,Gjörgæsla,25,23,29,35
2020-04-23,Legudeild,54,48,60,70
2020-04-23,Gjörgæsla,26,23,29,35
2020-04-24,Legudeild,54,49,60,70
2020-04-24,Gjörgæsla,26,23,30,35
2020-04-25,Legudeild,54,48,59,71
2020-04-25,Gjörgæsla,27,23,30,36
2020-04-26,Legudeild,53,47,59,70
2020-04-26,Gjörgæsla,28,24,31,37
2020-04-27,Legudeild,53,46,60,69
2020-04-27,Gjörgæsla,27,24,31,36
2020-04-28,Legudeild,52,46,59,68
2020-04-28,Gjörgæsla,27,23,31,37
2020-04-29,Legudeild,51,44,57,67
2020-04-29,Gjörgæsla,27,23,31,37
2020-04-30,Legudeild,50,45,55,64
2020-04-30,Gjörgæsla,27,23,31,37
2020-05-01,Legudeild,48,43,52,63
2020-05-01,Gjörgæsla,27,23,31,37
