date,state,median,quantile25,quantile75,quanitle975
2021-12-29,Legudeild,15,14,16,19
2021-12-29,Gjörgæsla,6,6,7,8
2021-12-30,Legudeild,19,17,21,26
2021-12-30,Gjörgæsla,7,6,8,10
2021-12-31,Legudeild,24,21,26,33
2021-12-31,Gjörgæsla,8,6,9,12
2022-01-01,Legudeild,27,24,31,37
2022-01-01,Gjörgæsla,8,7,10,13
2022-01-02,Legudeild,31,27,35,41
2022-01-02,Gjörgæsla,9,7,11,14
2022-01-03,Legudeild,34,30,38,45
2022-01-03,Gjörgæsla,9,8,11,15
2022-01-04,Legudeild,37,33,41,49
2022-01-04,Gjörgæsla,10,8,12,16
2022-01-05,Legudeild,41,36,45,53
2022-01-05,Gjörgæsla,11,9,13,17
2022-01-06,Legudeild,45,40,50,58
2022-01-06,Gjörgæsla,12,10,14,18
2022-01-07,Legudeild,49,45,54,62
2022-01-07,Gjörgæsla,13,11,15,20
2022-01-08,Legudeild,53,48,59,68
2022-01-08,Gjörgæsla,14,11,16,22
2022-01-09,Legudeild,58,52,63,73
2022-01-09,Gjörgæsla,15,12,18,24
2022-01-10,Legudeild,62,57,68,78
2022-01-10,Gjörgæsla,16,13,19,25
2022-01-11,Legudeild,66,60,71,82
2022-01-11,Gjörgæsla,17,14,20,26
2022-01-12,Legudeild,69,63,75,85
2022-01-12,Gjörgæsla,18,15,21,28
2022-01-13,Legudeild,72,66,78,89
2022-01-13,Gjörgæsla,19,16,22,28
