date,new_cases
2021-12-04,11
2021-12-05,14
2021-12-06,18
2021-12-07,23
2021-12-08,30
2021-12-09,39
2021-12-10,49
2021-12-11,63
2021-12-12,80
2021-12-13,101
2021-12-14,128
2021-12-15,160
2021-12-16,200
2021-12-17,248
2021-12-18,305
2021-12-19,371
2021-12-20,446
2021-12-21,529
2021-12-22,619
2021-12-23,712
2021-12-24,806
2021-12-25,897
2021-12-26,983
2021-12-27,1062
2021-12-28,1131
2021-12-29,1189
2021-12-30,1238
2021-12-31,1276
2022-01-01,1306
2022-01-02,1328
2022-01-03,1343
2022-01-04,1352
2022-01-05,1357
2022-01-06,1359
2022-01-07,1357
2022-01-08,1354
2022-01-09,1348
2022-01-10,1341
2022-01-11,1333
2022-01-12,1325
2022-01-13,1315
2022-01-14,1306
2022-01-15,1296
2022-01-16,1285
2022-01-17,1275
2022-01-18,1264
2022-01-19,1254
2022-01-20,1243
2022-01-21,1232
2022-01-22,1222
2022-01-23,1211
2022-01-24,1201
2022-01-25,1190
2022-01-26,1180
2022-01-27,1170
2022-01-28,1160
2022-01-29,1150
2022-01-30,1140
2022-01-31,1130
2022-02-01,1120
2022-02-02,1110
2022-02-03,1100
2022-02-04,1091
2022-02-05,1081
2022-02-06,1072
2022-02-07,1062
2022-02-08,1053
2022-02-09,1044
2022-02-10,1035
2022-02-11,1025
2022-02-12,1017
2022-02-13,1008
2022-02-14,999
2022-02-15,990
2022-02-16,981
2022-02-17,973
2022-02-18,964
2022-02-19,956
2022-02-20,947
2022-02-21,939
2022-02-22,931
2022-02-23,923
2022-02-24,915
2022-02-25,907
2022-02-26,899
2022-02-27,891
2022-02-28,883
2022-03-01,875
2022-03-02,868
2022-03-03,860
