date,state,median,quantile25,quantile75,quanitle975
2020-04-21,Legudeild,15,14,16,18
2020-04-21,Gjörgæsla,4,4,4,6
2020-04-22,Legudeild,13,12,15,18
2020-04-22,Gjörgæsla,4,3,5,7
2020-04-23,Legudeild,12,10,14,17
2020-04-23,Gjörgæsla,4,3,5,7
2020-04-24,Legudeild,11,10,13,16
2020-04-24,Gjörgæsla,4,3,5,7
2020-04-25,Legudeild,10,8,12,15
2020-04-25,Gjörgæsla,4,3,5,7
2020-04-26,Legudeild,9,8,11,14
2020-04-26,Gjörgæsla,3,2,5,7
2020-04-27,Legudeild,9,7,10,14
2020-04-27,Gjörgæsla,3,2,4,6
2020-04-28,Legudeild,8,6,10,13
2020-04-28,Gjörgæsla,3,2,4,6
2020-04-29,Legudeild,8,7,10,13
2020-04-29,Gjörgæsla,3,2,4,6
2020-04-30,Legudeild,8,6,10,13
2020-04-30,Gjörgæsla,2,1,4,6
2020-05-01,Legudeild,7,6,9,13
2020-05-01,Gjörgæsla,2,1,3,6
2020-05-02,Legudeild,7,6,9,12
2020-05-02,Gjörgæsla,2,1,3,5
2020-05-03,Legudeild,7,5,9,12
2020-05-03,Gjörgæsla,2,1,3,5
2020-05-04,Legudeild,7,5,8,11
2020-05-04,Gjörgæsla,2,1,3,5
2020-05-05,Legudeild,6,5,8,11
2020-05-05,Gjörgæsla,2,1,3,5
2020-05-06,Legudeild,6,4,7,11
2020-05-06,Gjörgæsla,2,1,3,5
2020-05-07,Legudeild,5,4,7,10
2020-05-07,Gjörgæsla,2,1,3,5
2020-05-08,Legudeild,5,4,7,10
2020-05-08,Gjörgæsla,2,1,2,4
2020-05-09,Legudeild,5,3,6,9
2020-05-09,Gjörgæsla,1,1,2,4
2020-05-10,Legudeild,4,3,6,9
2020-05-10,Gjörgæsla,1,1,2,4
2020-05-11,Legudeild,4,3,6,9
2020-05-11,Gjörgæsla,1,1,2,4
2020-05-12,Legudeild,4,3,5,8
2020-05-12,Gjörgæsla,1,0,2,4
2020-05-13,Legudeild,4,3,5,8
2020-05-13,Gjörgæsla,1,0,2,4
2020-05-14,Legudeild,4,2,5,8
2020-05-14,Gjörgæsla,1,0,2,3
2020-05-15,Legudeild,3,2,5,8
2020-05-15,Gjörgæsla,1,0,2,3
2020-05-16,Legudeild,3,2,4,7
2020-05-16,Gjörgæsla,1,0,1,3
2020-05-17,Legudeild,3,2,4,7
2020-05-17,Gjörgæsla,1,0,1,3
2020-05-18,Legudeild,3,2,4,7
2020-05-18,Gjörgæsla,1,0,1,3
