date,state,median,quantile25,quantile75,quanitle975
2020-04-10,Legudeild,23,21,25,28
2020-04-10,Gjörgæsla,10,9,10,13
2020-04-11,Legudeild,19,17,21,25
2020-04-11,Gjörgæsla,10,9,12,14
2020-04-12,Legudeild,20,17,23,27
2020-04-12,Gjörgæsla,10,8,11,14
2020-04-13,Legudeild,22,19,25,30
2020-04-13,Gjörgæsla,9,7,10,14
2020-04-14,Legudeild,24,21,27,33
2020-04-14,Gjörgæsla,9,7,11,14
2020-04-15,Legudeild,26,23,30,37
2020-04-15,Gjörgæsla,9,7,11,14
2020-04-16,Legudeild,28,25,31,39
2020-04-16,Gjörgæsla,8,7,10,14
2020-04-17,Legudeild,29,26,32,39
2020-04-17,Gjörgæsla,8,7,10,14
2020-04-18,Legudeild,29,26,32,40
2020-04-18,Gjörgæsla,9,7,11,15
2020-04-19,Legudeild,30,26,33,40
2020-04-19,Gjörgæsla,9,7,11,15
2020-04-20,Legudeild,30,26,33,40
2020-04-20,Gjörgæsla,9,7,11,15
2020-04-21,Legudeild,30,26,33,40
2020-04-21,Gjörgæsla,9,7,12,15
2020-04-22,Legudeild,28,25,32,40
2020-04-22,Gjörgæsla,9,8,12,17
2020-04-23,Legudeild,27,24,31,38
2020-04-23,Gjörgæsla,10,8,12,16
2020-04-24,Legudeild,26,23,30,37
2020-04-24,Gjörgæsla,10,8,12,17
2020-04-25,Legudeild,26,23,29,35
2020-04-25,Gjörgæsla,10,8,12,16
2020-04-26,Legudeild,26,22,29,36
2020-04-26,Gjörgæsla,10,8,12,16
2020-04-27,Legudeild,25,22,29,35
2020-04-27,Gjörgæsla,9,8,12,16
2020-04-28,Legudeild,25,21,28,35
2020-04-28,Gjörgæsla,9,7,12,16
2020-04-29,Legudeild,24,20,27,35
2020-04-29,Gjörgæsla,9,7,12,16
2020-04-30,Legudeild,23,20,27,34
2020-04-30,Gjörgæsla,9,7,11,16
2020-05-01,Legudeild,23,20,26,34
2020-05-01,Gjörgæsla,9,7,11,16
2020-05-02,Legudeild,22,19,26,33
2020-05-02,Gjörgæsla,9,7,11,15
2020-05-03,Legudeild,22,18,25,31
2020-05-03,Gjörgæsla,8,6,11,15
2020-05-04,Legudeild,21,18,24,30
2020-05-04,Gjörgæsla,8,6,10,15
2020-05-05,Legudeild,20,17,23,30
2020-05-05,Gjörgæsla,8,6,10,14
2020-05-06,Legudeild,19,16,22,29
2020-05-06,Gjörgæsla,8,6,10,13
2020-05-07,Legudeild,18,16,22,28
2020-05-07,Gjörgæsla,7,5,9,13
2020-05-08,Legudeild,18,15,21,27
2020-05-08,Gjörgæsla,7,5,9,12
