date,state,median,quantile25,quantile75,quanitle975
2020-04-13,Legudeild,27,25,28,31
2020-04-13,Gjörgæsla,7,6,8,9
2020-04-14,Legudeild,25,23,27,31
2020-04-14,Gjörgæsla,7,6,8,10
2020-04-15,Legudeild,25,23,27,32
2020-04-15,Gjörgæsla,7,6,8,11
2020-04-16,Legudeild,25,22,28,33
2020-04-16,Gjörgæsla,7,6,9,12
2020-04-17,Legudeild,25,22,28,34
2020-04-17,Gjörgæsla,7,6,9,12
2020-04-18,Legudeild,26,23,29,34
2020-04-18,Gjörgæsla,7,6,9,12
2020-04-19,Legudeild,25,22,28,34
2020-04-19,Gjörgæsla,7,6,9,12
2020-04-20,Legudeild,25,22,28,34
2020-04-20,Gjörgæsla,7,6,9,12
2020-04-21,Legudeild,24,21,28,34
2020-04-21,Gjörgæsla,7,5,9,12
2020-04-22,Legudeild,24,21,27,33
2020-04-22,Gjörgæsla,7,5,9,13
2020-04-23,Legudeild,23,20,26,32
2020-04-23,Gjörgæsla,7,5,9,12
2020-04-24,Legudeild,22,19,25,31
2020-04-24,Gjörgæsla,7,5,8,12
2020-04-25,Legudeild,21,18,24,29
2020-04-25,Gjörgæsla,6,5,8,12
2020-04-26,Legudeild,19,17,22,29
2020-04-26,Gjörgæsla,6,5,8,11
2020-04-27,Legudeild,18,15,21,27
2020-04-27,Gjörgæsla,6,4,8,11
2020-04-28,Legudeild,18,15,20,26
2020-04-28,Gjörgæsla,6,4,8,11
2020-04-29,Legudeild,17,14,20,25
2020-04-29,Gjörgæsla,6,4,7,11
2020-04-30,Legudeild,16,14,19,24
2020-04-30,Gjörgæsla,5,4,7,10
2020-05-01,Legudeild,15,13,18,23
2020-05-01,Gjörgæsla,5,4,7,10
2020-05-02,Legudeild,15,12,17,23
2020-05-02,Gjörgæsla,5,4,6,10
2020-05-03,Legudeild,14,11,16,22
2020-05-03,Gjörgæsla,5,4,6,9
2020-05-04,Legudeild,13,11,15,21
2020-05-04,Gjörgæsla,5,3,6,9
2020-05-05,Legudeild,12,10,15,20
2020-05-05,Gjörgæsla,4,3,6,9
2020-05-06,Legudeild,12,10,14,20
2020-05-06,Gjörgæsla,4,3,6,9
2020-05-07,Legudeild,11,9,13,19
2020-05-07,Gjörgæsla,4,3,5,8
2020-05-08,Legudeild,11,9,13,19
2020-05-08,Gjörgæsla,4,3,5,8
2020-05-09,Legudeild,10,8,12,17
2020-05-09,Gjörgæsla,4,2,5,8
2020-05-10,Legudeild,10,8,12,17
2020-05-10,Gjörgæsla,3,2,5,7
2020-05-11,Legudeild,9,7,11,16
2020-05-11,Gjörgæsla,3,2,4,7
