date,state,median,quantile25,quantile75,quanitle975
2022-01-19,Legudeild,30,28,31,33
2022-01-19,Gjörgæsla,2,2,2,4
2022-01-20,Legudeild,29,27,31,35
2022-01-20,Gjörgæsla,3,2,4,6
2022-01-21,Legudeild,31,28,34,38
2022-01-21,Gjörgæsla,4,3,5,7
2022-01-22,Legudeild,34,31,37,44
2022-01-22,Gjörgæsla,4,3,6,8
2022-01-23,Legudeild,37,34,40,48
2022-01-23,Gjörgæsla,5,4,7,10
2022-01-24,Legudeild,40,36,44,52
2022-01-24,Gjörgæsla,6,4,7,11
2022-01-25,Legudeild,42,39,47,55
2022-01-25,Gjörgæsla,7,5,8,12
2022-01-26,Legudeild,45,41,49,58
2022-01-26,Gjörgæsla,7,5,9,12
2022-01-27,Legudeild,47,43,52,61
2022-01-27,Gjörgæsla,8,6,10,14
2022-01-28,Legudeild,49,45,53,63
2022-01-28,Gjörgæsla,8,6,10,14
2022-01-29,Legudeild,51,46,55,64
2022-01-29,Gjörgæsla,9,7,11,15
2022-01-30,Legudeild,52,47,57,66
2022-01-30,Gjörgæsla,9,7,11,16
2022-01-31,Legudeild,53,48,58,68
2022-01-31,Gjörgæsla,10,8,12,16
2022-02-01,Legudeild,53,49,59,69
2022-02-01,Gjörgæsla,10,8,12,17
2022-02-02,Legudeild,54,50,60,69
2022-02-02,Gjörgæsla,10,8,13,17
2022-02-03,Legudeild,55,50,61,70
2022-02-03,Gjörgæsla,11,8,13,18
