date,state,median,lower,upper
2020-10-07,Legudeild,15,15,16
2020-10-07,Gjörgæsla,4,4,5
2020-10-08,Legudeild,15,10,18
2020-10-08,Gjörgæsla,4,2,6
2020-10-09,Legudeild,14,9,19
2020-10-09,Gjörgæsla,4,2,7
2020-10-10,Legudeild,14,9,20
2020-10-10,Gjörgæsla,4,2,7
2020-10-11,Legudeild,14,8,21
2020-10-11,Gjörgæsla,4,1,7
2020-10-12,Legudeild,14,7,21
2020-10-12,Gjörgæsla,4,1,8
2020-10-13,Legudeild,14,7,21
2020-10-13,Gjörgæsla,4,1,8
2020-10-14,Legudeild,14,7,21
2020-10-14,Gjörgæsla,4,1,8
2020-10-15,Legudeild,14,7,21
2020-10-15,Gjörgæsla,4,1,8
2020-10-16,Legudeild,14,7,22
2020-10-16,Gjörgæsla,4,1,8
2020-10-17,Legudeild,14,7,22
2020-10-17,Gjörgæsla,4,1,9
2020-10-18,Legudeild,13,7,22
2020-10-18,Gjörgæsla,4,1,9
2020-10-19,Legudeild,13,7,21
2020-10-19,Gjörgæsla,4,1,9
2020-10-20,Legudeild,12,6,20
2020-10-20,Gjörgæsla,4,1,9
2020-10-21,Legudeild,12,6,20
2020-10-21,Gjörgæsla,4,1,9
2020-10-22,Legudeild,11,5,20
2020-10-22,Gjörgæsla,4,0,8
2020-10-23,Legudeild,11,5,20
2020-10-23,Gjörgæsla,4,1,8
2020-10-24,Legudeild,11,5,19
2020-10-24,Gjörgæsla,4,1,8
