date,state,median,lower,upper
2020-10-12,Legudeild,19,19,20
2020-10-12,Gjörgæsla,3,3,4
2020-10-13,Legudeild,19,15,24
2020-10-13,Gjörgæsla,3,2,5
2020-10-14,Legudeild,19,13,26
2020-10-14,Gjörgæsla,3,2,6
2020-10-15,Legudeild,19,12,26
2020-10-15,Gjörgæsla,4,2,6
2020-10-16,Legudeild,19,12,28
2020-10-16,Gjörgæsla,4,1,7
2020-10-17,Legudeild,20,12,28
2020-10-17,Gjörgæsla,4,1,7
2020-10-18,Legudeild,20,12,28
2020-10-18,Gjörgæsla,4,1,8
2020-10-19,Legudeild,20,12,28
2020-10-19,Gjörgæsla,4,1,8
2020-10-20,Legudeild,20,12,28
2020-10-20,Gjörgæsla,4,1,8
2020-10-21,Legudeild,20,12,28
2020-10-21,Gjörgæsla,4,1,8
2020-10-22,Legudeild,19,11,28
2020-10-22,Gjörgæsla,4,1,9
