date,state,median,quantile25,quantile75,quanitle975
2020-10-02,Legudeild,10,10,10,11
2020-10-02,Gjörgæsla,3,3,3,4
2020-10-03,Legudeild,10,9,12,14
2020-10-03,Gjörgæsla,3,3,3,5
2020-10-04,Legudeild,11,9,12,15
2020-10-04,Gjörgæsla,3,2,4,5
2020-10-05,Legudeild,11,9,13,17
2020-10-05,Gjörgæsla,3,2,4,6
2020-10-06,Legudeild,11,9,13,17
2020-10-06,Gjörgæsla,3,2,4,6
2020-10-07,Legudeild,11,9,13,18
2020-10-07,Gjörgæsla,3,2,4,6
2020-10-08,Legudeild,11,9,13,17
2020-10-08,Gjörgæsla,3,2,4,6
2020-10-09,Legudeild,11,9,13,17
2020-10-09,Gjörgæsla,3,2,4,7
2020-10-10,Legudeild,11,9,13,17
2020-10-10,Gjörgæsla,3,2,4,6
2020-10-11,Legudeild,11,9,13,17
2020-10-11,Gjörgæsla,3,2,4,7
2020-10-12,Legudeild,11,9,13,18
2020-10-12,Gjörgæsla,3,2,4,6
2020-10-13,Legudeild,11,9,13,18
2020-10-13,Gjörgæsla,3,2,4,6
2020-10-14,Legudeild,11,9,13,18
2020-10-14,Gjörgæsla,3,2,4,6
2020-10-15,Legudeild,11,9,13,17
2020-10-15,Gjörgæsla,3,2,4,6
2020-10-16,Legudeild,11,8,13,18
2020-10-16,Gjörgæsla,3,2,4,6
2020-10-17,Legudeild,11,8,13,17
2020-10-17,Gjörgæsla,3,2,4,6
2020-10-18,Legudeild,10,8,13,17
2020-10-18,Gjörgæsla,3,2,4,6
2020-10-19,Legudeild,10,8,12,17
2020-10-19,Gjörgæsla,3,2,4,6
2020-10-20,Legudeild,10,8,12,17
2020-10-20,Gjörgæsla,2,1,4,6
2020-10-21,Legudeild,10,8,12,17
2020-10-21,Gjörgæsla,2,1,4,6
2020-10-22,Legudeild,10,8,12,17
2020-10-22,Gjörgæsla,2,1,4,6
2020-10-23,Legudeild,9,8,12,17
2020-10-23,Gjörgæsla,2,1,3,6
2020-10-24,Legudeild,9,7,12,16
2020-10-24,Gjörgæsla,2,1,4,6
2020-10-25,Legudeild,9,7,12,16
2020-10-25,Gjörgæsla,2,1,3,6
2020-10-26,Legudeild,9,7,11,16
2020-10-26,Gjörgæsla,2,1,3,6
2020-10-27,Legudeild,9,7,11,15
2020-10-27,Gjörgæsla,2,1,3,6
2020-10-28,Legudeild,9,7,11,16
2020-10-28,Gjörgæsla,2,1,3,6
2020-10-29,Legudeild,8,6,10,16
2020-10-29,Gjörgæsla,2,1,3,6
2020-10-30,Legudeild,8,6,10,16
2020-10-30,Gjörgæsla,2,1,3,6
2020-10-31,Legudeild,8,6,10,16
2020-10-31,Gjörgæsla,2,1,3,6
