date,state,median,lower,upper
2020-10-09,Legudeild,21,21,22
2020-10-09,Gjörgæsla,3,3,4
2020-10-10,Legudeild,20,16,25
2020-10-10,Gjörgæsla,3,2,5
2020-10-11,Legudeild,19,13,25
2020-10-11,Gjörgæsla,4,2,6
2020-10-12,Legudeild,19,12,25
2020-10-12,Gjörgæsla,4,2,7
2020-10-13,Legudeild,18,11,25
2020-10-13,Gjörgæsla,4,1,7
2020-10-14,Legudeild,18,10,25
2020-10-14,Gjörgæsla,4,1,7
2020-10-15,Legudeild,18,10,26
2020-10-15,Gjörgæsla,4,1,8
2020-10-16,Legudeild,17,10,26
2020-10-16,Gjörgæsla,4,1,8
2020-10-17,Legudeild,18,11,26
2020-10-17,Gjörgæsla,4,1,9
2020-10-18,Legudeild,18,10,26
2020-10-18,Gjörgæsla,4,1,9
2020-10-19,Legudeild,18,10,26
2020-10-19,Gjörgæsla,4,1,9
2020-10-20,Legudeild,17,10,25
2020-10-20,Gjörgæsla,4,1,9
2020-10-21,Legudeild,17,10,25
2020-10-21,Gjörgæsla,4,1,9
