date,state,median,lower,upper
2020-10-23,Legudeild,19,17,23
2020-10-23,Gjörgæsla,2,1,4
2020-10-24,Legudeild,20,14,26
2020-10-24,Gjörgæsla,2,0,5
2020-10-25,Legudeild,19,13,26
2020-10-25,Gjörgæsla,2,0,5
2020-10-26,Legudeild,19,13,26
2020-10-26,Gjörgæsla,2,0,5
2020-10-27,Legudeild,19,12,26
2020-10-27,Gjörgæsla,2,0,5
2020-10-28,Legudeild,18,11,26
2020-10-28,Gjörgæsla,2,0,6
2020-10-29,Legudeild,17,10,26
2020-10-29,Gjörgæsla,2,0,6
2020-10-30,Legudeild,17,10,25
2020-10-30,Gjörgæsla,2,0,6
2020-10-31,Legudeild,16,9,24
2020-10-31,Gjörgæsla,2,0,5
