date,state,median,quantile25,quantile75,quanitle975
2022-01-12,Legudeild,31,30,32,35
2022-01-12,Gjörgæsla,7,7,8,9
2022-01-13,Legudeild,35,32,38,43
2022-01-13,Gjörgæsla,8,7,9,12
2022-01-14,Legudeild,40,37,43,51
2022-01-14,Gjörgæsla,9,8,10,13
2022-01-15,Legudeild,44,40,47,55
2022-01-15,Gjörgæsla,10,8,11,14
2022-01-16,Legudeild,48,44,52,60
2022-01-16,Gjörgæsla,10,9,12,16
2022-01-17,Legudeild,51,47,55,63
2022-01-17,Gjörgæsla,11,9,13,17
2022-01-18,Legudeild,54,50,58,67
2022-01-18,Gjörgæsla,12,10,14,18
2022-01-19,Legudeild,56,51,60,70
2022-01-19,Gjörgæsla,13,11,15,19
2022-01-20,Legudeild,58,53,63,72
2022-01-20,Gjörgæsla,13,11,15,19
2022-01-21,Legudeild,60,55,65,74
2022-01-21,Gjörgæsla,14,12,16,20
2022-01-22,Legudeild,62,57,67,76
2022-01-22,Gjörgæsla,14,12,17,22
2022-01-23,Legudeild,64,59,69,80
2022-01-23,Gjörgæsla,15,12,17,23
2022-01-24,Legudeild,65,60,71,82
2022-01-24,Gjörgæsla,15,13,18,24
2022-01-25,Legudeild,67,61,72,82
2022-01-25,Gjörgæsla,16,13,19,24
2022-01-26,Legudeild,68,63,74,84
2022-01-26,Gjörgæsla,16,14,19,24
2022-01-27,Legudeild,70,64,75,87
2022-01-27,Gjörgæsla,17,14,20,25
