date,state,median,quantile25,quantile75,quanitle975
2021-12-22,Legudeild,7,6,7,9
2021-12-22,Gjörgæsla,2,2,2,3
2021-12-23,Legudeild,8,7,9,13
2021-12-23,Gjörgæsla,2,2,3,5
2021-12-24,Legudeild,9,8,11,15
2021-12-24,Gjörgæsla,3,2,4,6
2021-12-25,Legudeild,10,9,13,17
2021-12-25,Gjörgæsla,3,2,4,6
2021-12-26,Legudeild,12,10,14,19
2021-12-26,Gjörgæsla,3,2,4,7
2021-12-27,Legudeild,12,10,15,20
2021-12-27,Gjörgæsla,3,2,5,7
2021-12-28,Legudeild,13,11,16,22
2021-12-28,Gjörgæsla,4,3,5,8
2021-12-29,Legudeild,14,12,17,23
2021-12-29,Gjörgæsla,4,3,5,9
2021-12-30,Legudeild,16,13,19,25
2021-12-30,Gjörgæsla,4,3,6,9
2021-12-31,Legudeild,17,14,20,26
2021-12-31,Gjörgæsla,4,3,6,9
2022-01-01,Legudeild,18,15,21,27
2022-01-01,Gjörgæsla,5,4,6,10
2022-01-02,Legudeild,19,16,23,29
2022-01-02,Gjörgæsla,5,4,7,11
2022-01-03,Legudeild,20,17,24,30
2022-01-03,Gjörgæsla,6,4,7,11
2022-01-04,Legudeild,22,18,25,32
2022-01-04,Gjörgæsla,6,4,8,11
2022-01-05,Legudeild,23,20,26,33
2022-01-05,Gjörgæsla,6,5,8,12
2022-01-06,Legudeild,24,21,27,35
2022-01-06,Gjörgæsla,7,5,8,12
