date,state,median,quantile25,quantile75,quanitle975
2022-01-21,Legudeild,28,27,29,32
2022-01-21,Gjörgæsla,2,2,3,4
2022-01-22,Legudeild,27,25,29,34
2022-01-22,Gjörgæsla,3,2,4,5
2022-01-23,Legudeild,29,27,31,36
2022-01-23,Gjörgæsla,3,2,4,7
2022-01-24,Legudeild,31,28,33,39
2022-01-24,Gjörgæsla,4,3,5,7
2022-01-25,Legudeild,33,30,36,44
2022-01-25,Gjörgæsla,5,3,6,9
2022-01-26,Legudeild,35,32,39,46
2022-01-26,Gjörgæsla,5,4,7,10
2022-01-27,Legudeild,37,33,41,48
2022-01-27,Gjörgæsla,6,5,8,11
2022-01-28,Legudeild,39,35,43,51
2022-01-28,Gjörgæsla,7,5,8,12
2022-01-29,Legudeild,40,36,44,53
2022-01-29,Gjörgæsla,7,5,9,12
2022-01-30,Legudeild,41,37,45,54
2022-01-30,Gjörgæsla,8,6,9,13
2022-01-31,Legudeild,42,38,46,56
2022-01-31,Gjörgæsla,8,6,10,13
2022-02-01,Legudeild,43,39,47,56
2022-02-01,Gjörgæsla,8,7,10,15
2022-02-02,Legudeild,43,39,48,56
2022-02-02,Gjörgæsla,9,7,11,16
2022-02-03,Legudeild,44,40,49,56
2022-02-03,Gjörgæsla,9,7,11,16
2022-02-04,Legudeild,44,40,49,57
2022-02-04,Gjörgæsla,9,8,11,16
2022-02-05,Legudeild,44,40,48,58
2022-02-05,Gjörgæsla,9,8,11,17
