day,home,inpatient_ward,intensive_care_unit,death,recovered
0,102,11,2,1,5
1,104,10,2,0,5
2,102,7,2,1,5
3,98,6,2,0,9
4,91,7,2,0,6
5,87,7,2,0,5
6,76,7,2,1,10
7,72,8,2,0,4
8,63,6,3,1,9
9,58,5,3,0,6
10,52,5,2,0,7
11,45,6,2,0,6
12,36,5,2,0,10
13,36,4,2,0,2
14,32,4,2,0,4
15,30,5,1,0,3
16,25,5,1,0,5
17,23,4,1,0,3
18,21,4,1,0,2
19,19,4,1,0,2
20,17,4,1,0,2
21,15,4,1,0,2
22,15,4,1,0,0
23,11,4,1,0,4
24,10,2,2,0,2
25,8,2,2,0,2
26,7,2,2,0,1
27,7,1,2,0,1
0,107,10,3,0,2
1,101,7,5,0,7
2,97,6,5,0,6
3,86,8,4,0,13
4,86,5,3,0,6
5,79,5,3,0,8
6,74,4,3,0,8
7,66,5,3,0,7
8,57,6,2,0,9
9,57,6,2,0,4
10,55,4,2,1,3
11,51,3,2,0,6
12,45,4,2,0,6
13,40,5,2,0,4
14,40,5,2,0,1
15,36,6,1,0,4
16,35,5,1,0,4
17,35,3,1,0,2
18,33,2,1,0,3
19,29,1,1,0,5
20,26,3,1,0,1
21,23,4,0,0,3
22,22,4,0,0,1
23,20,3,0,0,3
24,14,3,0,0,6
25,13,3,0,0,1
26,12,3,0,0,1
27,14,1,0,0,0
0,113,8,4,1,2
1,110,5,4,0,8
2,104,5,4,0,8
3,97,4,4,0,9
4,93,5,3,0,5
5,89,4,3,0,8
6,75,5,2,0,14
7,69,5,2,0,7
8,66,7,1,0,5
9,60,8,1,0,6
10,55,9,0,0,5
11,47,9,0,0,8
12,39,9,0,0,8
13,38,9,0,0,1
14,37,7,0,0,4
15,35,7,0,0,2
16,36,7,1,0,0
17,30,8,1,0,5
18,27,8,1,0,3
19,24,8,1,0,3
20,20,8,1,0,4
21,18,8,1,0,2
22,16,8,1,0,2
23,15,8,0,0,2
24,15,6,0,0,2
25,16,5,0,0,0
26,12,5,0,0,4
27,10,4,1,0,2
0,117,12,2,0,1
1,114,10,2,0,6
2,108,8,3,0,8
3,104,6,3,1,6
4,101,7,2,0,8
5,90,8,2,0,10
6,85,8,2,0,6
7,79,8,1,0,8
8,70,7,1,0,12
9,67,6,1,0,5
10,68,2,1,0,4
11,60,2,1,0,8
12,53,2,1,0,7
13,50,2,1,0,3
14,47,2,1,0,5
15,41,2,1,0,6
16,37,3,1,0,3
17,34,3,1,0,3
18,29,3,1,0,5
19,27,1,1,0,4
20,24,1,1,0,3
21,21,1,1,0,3
22,20,1,1,0,1
23,18,1,1,0,2
24,14,1,1,0,4
25,10,1,1,0,4
26,10,0,1,0,1
27,10,0,1,0,0
0,106,8,4,0,3
1,107,6,3,2,6
2,101,6,3,0,8
3,92,5,3,0,10
4,90,4,3,0,3
5,80,8,2,0,11
6,75,8,2,0,5
7,62,8,2,0,13
8,53,7,2,0,10
9,49,5,2,0,7
10,46,5,2,0,3
11,45,4,2,0,2
12,35,4,2,0,10
13,32,3,2,1,3
14,28,4,1,0,4
15,26,4,1,0,2
16,21,3,1,0,6
17,18,3,1,0,3
18,17,3,1,0,1
19,16,3,1,0,1
20,15,3,1,0,1
21,13,3,1,0,2
22,12,3,0,0,2
23,11,2,0,0,2
