day,home,inpatient_ward,intensive_care_unit,death,recovered
0,600,25,9,1,13
1,594,23,10,2,26
2,608,20,10,0,33
3,575,23,8,0,50
4,530,24,9,0,56
5,491,20,9,1,49
6,450,22,9,0,57
7,416,19,8,1,51
8,390,15,7,1,40
9,356,16,7,0,42
10,329,16,7,0,32
11,300,17,7,0,33
12,263,17,6,0,39
13,238,16,5,1,29
14,230,14,6,0,11
15,226,13,6,0,12
16,212,13,7,0,16
17,184,9,9,0,31
18,165,8,9,0,23
19,148,10,9,0,17
20,130,12,6,0,19
21,112,11,6,0,19
22,108,10,5,0,8
23,98,11,5,0,13
24,85,13,5,0,11
25,81,12,4,0,9
26,76,12,3,0,7
27,62,11,4,0,14
28,56,10,4,0,8
0,647,24,7,0,4
1,647,23,7,0,20
2,626,24,6,0,41
3,584,25,5,0,60
4,537,24,5,0,57
5,493,21,5,0,51
6,441,23,4,0,58
7,397,21,5,0,56
8,366,20,6,0,40
9,323,23,7,0,42
10,290,20,8,1,42
11,254,19,9,0,38
12,235,18,9,0,27
13,217,17,8,0,21
14,206,18,7,0,13
15,189,14,8,0,23
16,173,15,7,0,20
17,153,14,7,0,23
18,140,14,7,1,18
19,127,12,7,0,15
20,117,13,8,0,9
21,107,9,10,0,13
22,93,10,10,0,14
23,86,8,10,0,10
24,79,9,9,0,8
25,67,8,9,0,13
26,63,7,9,0,5
27,56,8,9,0,7
28,54,8,9,0,3
0,610,24,7,0,9
1,603,22,9,0,22
2,574,19,9,0,43
3,547,20,8,0,35
4,498,22,9,0,57
5,440,24,8,2,64
6,399,26,10,0,47
7,342,23,11,1,63
8,307,21,12,1,43
9,276,19,12,0,37
10,249,20,12,0,34
11,216,20,12,0,36
12,195,24,8,0,25
13,175,24,8,0,22
14,166,22,8,0,12
15,154,19,11,0,15
16,147,20,11,0,14
17,138,17,11,0,14
18,125,13,12,0,16
19,112,16,8,1,14
20,110,14,8,0,8
21,100,8,9,1,14
22,90,7,10,0,11
23,82,7,9,0,9
24,76,5,9,0,9
25,69,6,9,0,6
26,64,7,8,0,5
27,58,8,7,0,6
28,57,7,7,0,3
0,597,28,8,0,10
1,588,28,6,1,27
2,560,26,6,1,41
3,523,25,6,0,51
4,487,26,7,1,56
5,458,29,7,1,43
6,412,25,7,0,53
7,360,23,8,0,65
8,320,22,6,0,48
9,304,19,7,0,27
10,258,21,5,0,47
11,226,20,4,0,35
12,203,20,4,0,30
13,187,18,5,0,17
14,185,14,5,1,8
15,178,14,4,0,10
16,162,16,3,0,17
17,147,17,3,0,19
