day,home,inpatient_ward,intensive_care_unit,death,recovered
0,583,25,7,0,9
1,565,21,8,1,26
2,531,15,11,1,48
3,483,15,11,0,57
4,437,14,11,0,53
5,396,15,9,0,52
6,356,21,9,0,47
7,330,25,7,1,38
8,295,24,6,0,48
9,261,22,5,0,41
10,226,20,5,1,39
11,216,20,4,1,20
12,195,20,2,1,23
13,176,16,4,0,21
14,170,13,4,0,9
15,165,11,4,0,11
16,153,12,3,0,14
17,144,12,3,0,13
18,129,12,3,0,15
19,117,13,2,1,11
20,111,12,2,0,12
21,96,11,3,0,16
22,86,10,3,0,12
23,70,8,4,1,18
24,63,12,4,0,5
25,59,10,4,0,6
26,55,9,4,1,4
27,51,7,6,0,4
28,51,5,6,0,3
0,578,29,6,0,15
1,575,29,5,0,29
2,554,25,5,1,40
3,518,22,5,1,55
4,477,20,6,0,52
5,438,21,7,1,53
6,371,25,8,0,68
7,327,25,7,0,56
8,301,24,7,1,32
9,261,21,7,0,47
10,240,22,6,0,23
11,227,22,5,0,19
12,199,30,4,0,23
13,194,30,4,0,7
14,189,29,4,1,13
15,177,26,5,1,16
16,165,23,4,1,19
17,158,18,3,1,14
18,142,18,3,0,18
19,125,17,4,1,20
20,113,14,4,1,17
21,103,13,5,2,10
22,96,12,5,0,8
23,94,12,3,0,6
24,85,14,3,0,7
25,78,14,2,0,8
26,74,12,2,0,7
27,66,13,2,0,8
28,96,10,1,0,6
0,592,30,7,0,9
1,574,26,9,0,27
2,566,23,9,0,46
3,528,26,9,0,53
4,498,27,9,0,54
5,458,28,7,0,52
6,407,29,7,0,53
7,369,25,9,1,46
8,337,25,8,1,33
9,304,28,7,0,36
10,281,26,6,1,27
11,252,24,8,1,33
12,229,23,8,0,29
13,220,23,9,0,9
14,208,20,9,0,19
15,196,21,8,0,15
16,179,18,9,0,20
17,157,15,9,0,30
18,149,13,9,0,16
19,130,13,9,0,22
20,110,16,6,0,21
21,94,19,6,0,13
22,88,17,6,0,8
23,91,14,5,0,9
24,87,12,5,1,5
25,84,11,5,0,4
26,83,11,4,1,2
27,74,11,3,0,10
28,72,9,4,1,3
0,576,26,8,0,6
1,566,22,9,0,27
2,541,22,8,0,39
3,480,22,7,0,66
4,436,22,7,0,51
5,398,22,10,0,50
6,356,19,11,1,62
7,336,18,11,0,38
8,305,13,12,1,43
9,274,14,11,0,37
10,234,16,9,0,43
11,212,14,10,1,30
12,194,15,9,0,20
13,186,16,8,0,10
14,175,16,8,0,15
15,169,14,7,0,10
16,157,14,7,1,12
17,142,15,6,0,16
18,133,14,6,1,10
19,132,12,6,0,7
20,123,11,5,0,12
21,111,10,5,0,13
22,93,11,6,0,16
23,77,12,5,0,16
24,63,14,3,0,15
25,54,13,3,0,10
26,43,13,3,0,11
27,46,9,2,0,2
28,40,9,2,0,7
0,581,27,7,0,10
1,566,27,8,0,31
2,524,27,7,2,57
3,494,28,9,1,38
4,451,25,8,0,54
5,407,25,7,0,57
6,363,25,7,0,61
7,342,22,8,0,30
8,324,24,5,1,33
9,292,23,3,0,40
10,251,25,2,1,40
11,223,25,2,0,30
12,209,21,2,0,19
13,199,18,2,0,14
14,194,16,2,0,8
15,184,12,3,0,16
16,172,11,3,0,18
17,156,12,3,1,16
18,140,12,3,0,19
19,128,11,3,0,13
20,113,11,4,0,14
21,98,14,5,0,11
22,85,13,5,0,14
23,70,14,4,1,14
24,63,12,4,0,9
25,56,13,3,0,7
26,50,13,3,0,7
27,41,13,3,0,9
28,39,12,3,1,3
0,570,26,7,0,13
1,559,26,9,0,34
2,520,25,8,0,46
3,474,25,8,0,56
4,445,23,7,0,52
5,410,22,7,0,47
6,364,22,7,0,61
7,324,21,7,1,49
8,296,21,8,0,32
9,265,22,8,1,33
10,240,20,9,1,27
11,210,20,9,0,37
12,183,19,10,0,28
13,177,20,7,1,8
14,179,16,7,0,7
15,168,16,5,0,17
16,159,16,5,0,15
17,150,13,5,1,11
18,141,10,5,1,13
19,133,11,5,0,7
20,117,11,5,0,21
21,106,13,4,0,12
22,91,11,5,0,17
23,79,10,5,0,14
24,79,7,5,1,2
25,70,8,4,0,12
26,70,5,4,0,7
27,65,6,4,0,4
28,81,8,4,0,5
0,606,26,6,1,7
1,592,28,6,0,33
2,562,30,6,0,43
3,512,28,7,1,58
4,460,25,8,0,65
5,438,22,9,1,46
6,388,25,9,0,58
7,351,29,9,0,42
8,321,29,8,0,39
9,292,30,6,0,30
10,280,27,7,1,29
11,245,27,8,0,36
12,233,26,8,0,15
13,226,28,7,0,11
14,217,28,8,0,11
15,189,30,9,0,27
16,180,30,8,0,13
17,173,29,8,0,9
18,160,27,9,0,16
19,152,20,9,0,16
20,139,17,10,0,18
21,124,13,10,0,20
22,110,13,8,0,16
23,100,12,8,0,11
24,93,9,8,0,10
25,86,7,7,1,11
26,79,6,7,0,10
27,72,7,7,0,6
28,87,8,6,0,6
0,647,27,6,0,11
1,639,27,5,0,30
2,610,27,5,0,40
3,568,24,5,0,61
4,527,19,7,1,53
5,490,23,8,1,48
6,440,22,7,1,60
7,411,21,6,0,39
8,364,22,7,1,45
9,327,22,6,0,41
10,308,18,6,0,34
11,288,18,7,0,21
12,268,18,9,0,21
13,258,21,7,1,9
14,242,21,7,0,18
15,217,23,6,1,31
16,198,21,6,0,26
17,176,19,9,0,23
18,155,18,8,0,23
19,134,20,8,1,19
20,127,20,7,0,12
21,112,18,9,0,18
22,92,18,10,0,19
