day,home,inpatient_ward,intensive_care_unit,death,recovered
0,705,25,10,0,13
1,660,30,9,0,56
2,646,27,9,0,35
3,634,30,9,0,44
4,596,26,10,0,49
5,546,32,11,0,57
6,496,36,8,0,59
7,441,37,11,0,66
8,387,36,12,0,59
9,342,32,12,0,51
10,303,31,12,0,42
11,278,27,13,0,31
12,249,25,13,0,34
13,236,22,15,0,16
14,218,21,14,0,24
15,212,18,14,0,16
16,203,17,15,0,13
17,190,15,14,0,24
18,177,13,14,0,24
19,167,14,11,0,15
20,148,13,11,0,20
21,136,16,9,0,13
22,118,18,7,0,18
23,112,15,7,0,11
24,106,13,7,0,8
25,101,11,6,0,10
26,92,9,6,0,11
27,87,10,6,0,4
28,82,11,5,0,6
0,707,23,10,0,13
1,700,23,10,0,56
2,664,20,13,0,42
3,626,20,13,0,50
4,592,22,15,0,48
5,545,25,16,0,61
6,495,26,15,0,54
7,455,28,12,0,61
8,395,28,11,0,69
9,354,24,12,0,44
10,319,25,11,0,38
11,290,26,12,0,29
12,270,25,12,0,25
13,251,23,12,0,26
14,226,28,10,0,22
15,219,26,8,0,19
16,203,24,5,0,22
17,199,23,4,0,13
18,179,27,1,0,19
19,157,28,1,0,21
20,143,23,1,0,20
21,130,22,1,0,14
22,113,21,1,0,18
23,102,19,1,0,13
24,96,16,2,0,8
25,94,12,2,0,7
26,88,12,2,0,6
27,85,11,2,0,4
28,73,12,2,0,12
0,703,23,10,0,16
1,676,27,10,0,42
2,654,25,11,0,37
3,634,24,10,0,47
4,575,25,12,0,66
5,526,25,12,0,59
6,481,23,10,0,51
7,423,20,10,0,63
8,361,18,9,0,72
9,317,19,9,0,51
10,285,18,8,0,43
11,258,16,8,0,34
12,229,16,9,0,29
13,208,16,9,0,24
14,205,15,9,0,14
15,193,16,8,0,19
16,178,13,7,0,20
17,159,11,10,0,19
18,141,9,10,0,21
19,125,12,10,0,13
20,114,12,12,0,11
21,103,13,11,0,11
22,94,14,10,0,10
23,86,16,8,0,9
24,75,13,8,0,14
25,63,12,8,0,13
26,60,14,6,0,4
27,62,13,5,0,2
28,60,12,3,0,6
0,722,25,10,0,9
1,694,25,11,0,43
2,661,29,11,0,41
3,612,27,15,0,58
4,578,29,14,0,51
5,526,28,14,0,71
6,483,31,15,0,55
7,448,33,16,0,57
8,414,34,15,0,49
9,378,32,15,0,45
10,333,31,13,0,49
11,308,31,12,0,32
12,285,29,11,0,31
13,270,28,12,0,23
14,260,27,12,0,14
15,233,25,11,0,30
16,222,26,8,0,17
17,212,26,8,0,13
18,204,23,7,0,13
19,182,23,5,0,25
20,156,26,5,0,23
21,139,27,5,0,16
22,123,25,5,0,20
23,108,24,5,0,18
24,98,22,5,0,12
25,90,20,4,0,12
26,87,14,5,0,8
27,80,13,7,0,7
28,78,11,7,0,5
0,731,23,10,0,17
1,697,24,8,0,46
2,714,30,9,0,31
3,685,31,9,0,57
4,649,27,9,0,52
5,594,25,10,0,65
6,548,28,8,0,57
7,488,32,7,0,77
8,429,34,6,0,63
9,395,33,6,0,42
10,367,29,7,0,36
11,351,25,8,0,33
12,341,23,10,0,24
13,322,21,9,0,23
14,305,19,8,0,25
15,283,18,9,0,24
16,265,16,8,0,25
17,232,19,7,0,32
18,207,19,7,0,27
19,187,19,7,0,23
20,168,19,5,0,21
21,150,19,5,0,18
22,141,14,5,0,17
23,122,15,6,0,17
24,107,13,7,0,18
25,100,11,7,0,9
26,81,12,7,0,18
27,69,13,7,0,11
28,62,12,7,0,9
0,697,27,10,0,10
1,706,30,9,0,43
2,685,31,8,0,39
3,660,31,8,0,46
4,623,30,9,0,55
5,578,32,10,0,64
6,512,33,10,0,72
7,477,31,11,0,39
