day,home,inpatient_ward,intensive_care_unit,death,recovered
0,752,23,11,0,14
1,736,20,13,0,53
2,682,20,11,0,69
3,647,25,12,0,48
4,607,23,13,0,51
5,563,25,11,0,54
6,507,25,10,0,69
7,447,28,10,0,61
8,393,32,9,0,55
9,347,36,8,0,50
10,297,34,7,0,56
11,267,33,7,0,38
12,250,31,6,0,25
13,235,28,6,0,30
14,235,30,4,0,13
15,210,29,4,0,27
16,196,27,5,0,20
17,180,27,5,0,17
18,165,24,5,0,19
19,157,21,7,0,10
20,141,17,8,0,19
21,130,15,9,0,13
22,117,14,8,0,15
23,106,13,9,0,12
24,107,9,8,0,8
25,101,9,7,0,7
26,94,9,7,0,7
27,83,11,5,0,11
28,76,10,5,0,9
0,768,25,11,0,12
1,770,21,12,0,41
2,716,19,12,0,74
3,678,18,12,0,46
4,646,20,12,0,53
5,606,22,10,0,59
6,529,24,10,0,83
7,476,23,9,0,59
8,432,22,11,0,52
9,385,26,10,0,57
10,354,27,8,0,34
11,309,30,10,0,45
12,288,30,9,0,31
13,271,27,9,0,27
14,254,27,9,0,19
15,230,25,9,0,30
16,205,25,9,0,25
17,186,25,8,0,22
18,170,24,8,0,21
19,158,26,6,0,12
20,138,29,5,0,22
21,131,28,5,0,14
22,122,25,5,0,12
23,115,22,5,0,12
24,109,21,6,0,7
25,100,20,5,0,11
26,95,18,5,0,7
27,85,18,5,0,11
28,96,16,5,0,10
0,758,27,11,0,17
1,730,26,11,0,47
2,691,33,8,0,59
3,666,30,9,0,51
4,643,28,11,0,58
5,599,33,12,0,55
6,551,34,13,0,65
7,520,35,11,0,56
8,463,31,11,0,67
9,413,34,10,0,55
10,380,35,8,0,42
11,351,30,8,0,36
12,326,28,8,0,33
13,312,27,5,0,24
14,299,22,7,0,20
15,281,19,7,0,25
16,272,19,7,0,21
17,250,18,6,0,27
18,229,21,6,0,23
19,214,20,6,0,23
20,194,17,7,0,23
21,178,12,7,0,21
22,151,12,7,0,29
23,141,10,8,0,11
24,127,11,7,0,15
25,120,6,8,0,11
26,107,5,9,0,13
27,99,5,9,0,8
28,94,5,8,0,7
0,760,26,10,0,4
1,753,33,10,0,38
2,755,32,10,0,74
3,724,33,10,0,43
4,676,36,11,0,63
5,643,35,12,0,52
6,581,33,14,0,71
7,525,35,16,0,63
8,468,37,15,0,64
9,417,37,16,0,59
10,384,39,19,0,38
11,362,38,19,0,34
12,340,40,17,0,27
13,321,38,17,0,23
14,306,37,16,0,22
15,291,35,15,0,20
16,278,34,15,0,25
17,231,34,15,0,47
18,208,34,12,0,28
19,182,31,14,0,27
20,161,27,15,0,24
21,151,26,15,0,14
22,139,24,16,0,13
23,132,20,16,0,11
24,124,18,16,0,14
25,119,17,15,0,7
26,104,17,15,0,15
27,99,14,14,0,9
28,93,14,15,0,6
0,773,26,10,0,18
1,762,24,9,0,41
2,753,27,9,0,57
3,710,27,10,0,64
4,673,28,9,0,47
5,620,28,8,0,60
6,591,32,7,0,64
7,527,32,8,0,70
8,479,32,9,0,57
9,438,33,8,0,44
10,396,32,9,0,44
11,351,28,9,0,52
12,333,26,9,0,31
13,313,26,8,0,23
14,300,27,7,0,16
15,280,24,8,0,25
16,248,27,4,0,38
17,211,29,4,0,37
18,185,31,3,0,27
19,173,28,3,0,17
20,166,22,4,0,14
