day,home,inpatient_ward,intensive_care_unit,death,recovered
0,238,21,3,0,7
1,232,22,3,0,13
2,216,20,4,0,22
3,200,18,5,0,19
4,181,14,7,0,21
5,162,15,6,0,20
6,147,12,7,1,17
7,136,14,6,0,13
8,125,12,5,0,14
9,110,12,3,0,17
10,100,11,2,0,12
11,95,10,1,0,7
12,86,9,1,0,11
13,79,9,1,0,7
14,72,7,0,1,9
15,66,7,0,0,8
16,57,6,0,0,13
17,51,7,0,0,5
18,47,5,0,0,6
19,41,5,0,0,6
20,39,4,0,0,3
21,36,5,0,0,2
22,31,5,0,0,6
23,29,5,0,0,2
24,28,5,0,0,1
25,24,5,0,0,5
26,23,5,0,0,1
27,22,3,0,0,3
0,230,20,5,0,7
1,238,15,5,0,10
2,228,11,6,0,16
3,204,11,5,0,28
4,196,10,4,0,16
5,177,10,4,0,24
6,162,9,4,0,17
7,144,9,4,0,19
8,139,7,4,0,7
9,129,5,6,0,14
10,117,4,6,0,13
11,102,5,4,2,16
12,93,5,5,0,8
13,85,6,4,0,9
14,78,6,3,1,7
15,73,6,2,1,5
16,63,7,1,0,10
17,55,8,1,0,7
18,48,10,1,0,5
19,39,10,0,0,11
20,36,9,0,0,4
21,34,9,0,0,3
22,32,7,0,0,4
23,31,6,0,0,2
24,27,5,0,1,5
25,25,5,0,0,2
26,21,4,0,0,5
27,21,4,0,0,0
0,231,24,3,0,4
1,227,21,3,0,9
2,213,18,2,2,19
3,194,19,2,0,21
4,170,20,3,0,27
5,151,20,1,0,26
6,132,20,1,0,21
7,122,18,1,0,14
8,109,17,1,0,15
9,104,16,1,0,6
10,102,14,2,0,5
11,92,12,2,0,12
12,80,11,2,0,14
13,76,9,2,0,6
14,70,8,2,0,7
15,68,6,1,1,4
16,63,5,1,0,6
17,61,3,1,0,4
18,56,2,2,0,5
19,53,0,2,0,6
20,47,0,2,0,6
21,41,0,4,0,4
22,37,0,4,0,4
23,34,0,4,0,3
24,29,0,4,0,5
25,26,0,3,1,3
26,24,0,3,0,2
27,21,0,3,0,3
0,244,17,4,1,5
1,236,14,5,0,13
2,217,15,5,0,21
3,202,15,4,1,20
4,191,12,3,0,17
5,179,12,2,1,24
6,167,10,3,0,13
7,148,10,2,0,20
8,137,10,1,0,13
9,128,10,1,0,11
10,119,9,1,0,11
11,110,8,2,0,9
12,98,8,2,0,13
13,91,9,2,0,7
14,85,9,1,1,9
15,79,7,1,0,8
16,70,5,0,0,12
17,65,4,1,0,6
18,57,4,1,0,8
19,50,5,1,0,6
20,38,5,1,0,12
21,36,4,1,0,3
22,33,4,1,1,2
23,32,4,1,0,1
24,29,4,1,0,3
25,25,3,2,0,4
26,19,4,2,0,5
27,17,6,2,0,0
0,240,20,5,0,6
1,242,14,8,0,14
2,227,13,8,1,15
3,211,10,8,0,22
4,198,12,4,1,19
5,181,12,3,0,20
6,172,10,3,0,12
7,157,8,3,1,16
8,144,8,3,0,14
9,131,10,2,1,13
10,124,10,2,0,10
11,116,9,2,0,10
12,102,9,2,1,13
13,101,6,2,0,5
14,94,4,1,0,12
15,84,4,1,0,10
16,66,6,1,0,16
17,62,6,1,0,4
18,53,5,1,1,9
19,49,6,1,0,3
20,40,6,1,0,9
21,36,6,1,0,4
22,30,5,2,0,6
23,28,5,2,0,2
24,25,6,2,0,2
25,17,7,2,0,7
26,15,7,3,0,1
27,15,5,3,1,1
0,243,20,3,0,4
1,244,19,2,0,6
2,229,16,3,0,18
3,209,14,4,0,22
4,186,12,4,0,26
5,174,8,4,0,18
6,156,6,5,0,19
7,140,6,5,0,19
8,126,7,6,0,14
9,117,7,6,0,11
10,112,5,7,0,7
11,99,6,5,1,15
12,88,6,5,0,11
13,81,7,4,1,6
14,74,8,3,1,7
15,67,9,2,1,6
16,55,9,3,0,11
17,48,7,4,1,7
18,44,6,4,0,5
19,35,7,3,0,9
