age_group_std,fj_smitadra,fj_spitala,fj_icu
0-9,42,0,0
10-19,119,0,0
20-29,205,2,0
30-39,209,3,0
40-49,282,6,2
50-59,234,11,4
60-69,161,22,11
70-79,40,14,4
80+,15,10,0
